&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s
2,5	53,4	33,3	11,6	30,4
2,6	54,4	30,2	12,3	32,7
2,7	54,9	32,2	10,5	34,9
2,8	60,7	27,7	10,7	35,3
2,9	65,5	34,1	10,2	36,4
3,0	80,0	43,2	12,2	48,9
3,1	108,0	55,5	16,6	64,9
3,2	151,4	80,6	21,5	93,0
3,3	206,8	106,6	25,2	145,7
3,4	250,5	123,1	26,2	180,7
3,5	275,1	132,3	26,1	200,0
3,6	290,1	130,9	23,3	221,1
3,7	292,8	137,3	24,4	235,5
3,8	308,1	125,3	20,5	229,5
3,9	313,3	125,2	16,7	235,1
4,0	306,6	112,0	16,1	223,5
4,1	295,5	101,7	16,5	222,1
4,2	303,2	98,5	13,6	211,1
4,3	288,4	94,9	14,4	207,4
4,4	274,3	82,5	12,9	193,1
4,5	265,8	82,1	12,5	178,9
4,6	255,1	74,6	13,0	172,6
4,7	246,1	75,0	11,1	164,5
4,8	231,7	64,1	14,0	152,8
4,9	228,4	59,4	12,4	146,8
5,0	207,9	55,9	12,0	137,6
5,1	210,2	54,8	14,6	131,2
5,2	223,8	55,8	18,7	136,6
5,3	237,5	56,1	33,0	143,0
5,4	277,9	53,4	57,2	168,3
5,5	300,8	58,7	63,2	179,7
5,6	287,4	54,3	59,5	166,3
5,7	234,8	54,3	50,1	131,9
5,8	197,7	58,2	34,5	108,2
5,9	218,9	84,3	39,1	117,6
6,0	312,4	160,8	52,8	162,0
6,1	447,3	254,9	74,0	223,8
6,2	494,4	293,5	78,6	251,9
6,3	418,5	249,6	73,3	212,6
6,4	293,2	164,4	45,2	143,3
6,5	175,4	97,9	25,2	87,8
6,6	159,9	80,2	17,1	74,5
6,7	145,8	74,6	21,1	82,8
6,8	152,4	71,0	19,0	78,7
6,9	142,2	74,9	19,5	83,7
7,0	141,5	70,8	18,4	85,3
7,1	145,3	70,2	17,3	82,3
7,2	146,6	70,1	16,6	84,4
7,3	139,1	71,1	16,3	81,2
7,4	143,6	65,2	17,1	79,5
7,5	134,7	66,5	15,7	83,8
7,6	139,2	60,1	15,3	80,9
7,7	140,7	59,0	14,9	79,5
7,8	126,4	57,8	13,8	75,6
7,9	138,4	66,5	13,2	82,1
8,0	144,9	68,0	16,8	79,3
8,1	149,0	68,3	15,7	78,1
8,2	153,1	67,4	13,4	80,5
8,3	145,6	68,1	14,8	80,4
8,4	150,5	65,5	15,0	76,9
8,5	147,6	60,8	15,1	75,8
8,6	142,5	57,3	13,6	76,7
8,7	133,7	65,0	18,5	77,0
8,8	135,8	57,3	14,6	73,3
8,9	127,8	58,0	14,1	68,2
9,0	118,2	56,6	14,7	70,0
9,1	125,9	55,7	15,4	71,4
9,2	123,7	52,3	15,2	65,5
9,3	117,7	54,8	15,4	66,8
9,4	113,8	57,0	17,3	68,2
9,5	110,7	53,3	18,5	67,6
9,6	105,4	54,4	15,7	67,5
9,7	113,9	49,9	15,9	62,9
9,8	112,2	56,5	17,7	70,0
9,9	101,2	53,9	16,6	66,7
10,0	103,7	51,3	19,8	69,2
10,1	107,9	57,2	17,2	71,3
10,2	105,5	56,4	19,4	64,9
10,3	102,0	56,7	18,2	73,3
10,4	105,0	54,9	17,3	74,2
10,5	105,4	52,6	20,4	69,0
10,6	101,9	56,4	20,2	73,0
10,7	106,0	60,5	22,6	71,0
10,8	111,4	63,9	21,7	73,3
10,9	116,1	55,9	22,7	77,5
11,0	123,3	58,6	27,0	85,4
11,1	129,7	62,4	30,6	81,7
11,2	115,5	57,3	26,8	85,9
11,3	107,9	54,1	25,8	84,1
11,4	106,6	58,4	22,3	76,9
11,5	100,2	56,6	21,0	71,9
11,6	101,1	54,6	19,4	74,5
11,7	97,1	57,9	19,4	74,3
11,8	93,5	55,6	18,1	74,3
11,9	100,8	50,7	19,9	72,0
12,0	96,6	58,2	17,0	71,4
