&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s	R_4 / 1/s	R_5 / 1/s
2,5	61	59,3	37,0	16,0	8,7	2,7
2,6	67	65,7	33,7	18,7	9,3	4,7
2,7	82	75,3	36,0	20,3	10,3	3,3
2,8	102	60,3	37,3	16,7	10,7	1,7
2,9	105	83,7	39,7	23,0	8,0	2,0
3,0	140	108,0	38,0	18,0	9,7	3,0
3,1	213	186,0	42,3	21,0	7,3	4,0
3,2	238	213,3	47,3	23,7	9,0	3,3
3,3	307	275,0	41,3	23,0	8,3	3,3
3,4	306	297,7	55,7	21,3	12,0	1,7
3,5	332	320,7	73,3	22,0	8,7	3,3
3,6	353	346,3	102,3	23,0	12,7	4,3
3,7	384	322,3	124,7	24,7	11,0	4,0
3,8	374	354,3	148,3	32,7	10,7	5,0
3,9	347	331,3	157,3	25,0	11,0	2,7
4,0	345	331,3	172,3	39,3	14,0	2,3
4,1	347	327,3	188,3	51,0	10,0	5,3
4,2	331	333,7	183,3	68,7	10,0	2,7
4,3	326	323,7	190,3	80,0	12,0	3,3
4,4	315	328,0	187,3	95,0	13,0	3,3
4,5	319	311,3	192,3	87,3	13,0	5,7
4,6	328	292,3	183,0	111,3	18,0	2,7
4,7	285	278,7	171,0	102,3	19,3	3,0
4,8	263	270,0	179,7	106,0	24,0	4,3
4,9	279	258,3	161,7	108,7	32,0	4,0
5,0	242	255,3	164,0	104,3	38,0	4,7
5,1	222	244,3	156,7	108,0	39,3	3,0
5,2	255	246,3	161,3	109,3	39,7	3,3
5,3	267	252,0	166,7	109,0	48,7	4,0
5,4	309	294,3	191,7	108,3	44,3	3,0
5,5	376	324,3	202,3	114,0	47,3	5,3
5,6	331	320,3	183,7	114,3	54,0	3,7
5,7	251	286,3	179,3	111,7	49,7	9,0
5,8	237	212,0	140,7	87,7	41,7	11,0
5,9	276	232,0	153,7	84,7	49,7	12,0
6,0	359	316,0	184,0	110,0	53,7	8,0
6,1	525	419,7	267,7	130,0	64,7	16,7
6,2	552	505,7	298,3	162,3	66,0	15,3
6,3	473	543,3	285,7	158,3	57,3	10,3
6,4	352	384,3	206,7	110,0	48,7	13,3
6,5	237	230,3	112,3	82,7	40,3	13,0
6,6	173	199,7	99,3	62,0	38,0	15,7
6,7	182	191,7	99,0	61,0	33,3	14,0
6,8	179	181,0	88,7	58,7	31,0	15,0
6,9	179	184,0	90,7	58,3	36,7	13,3
7,0	174	159,7	93,7	60,7	32,7	13,3
7,1	179	176,0	75,3	47,3	34,0	14,3
7,2	167	168,3	98,0	56,7	29,3	13,7
