&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s
2,5	13,6	16,0	4,6	7,4
2,6	12,3	16,8	4,4	6,5
2,7	11,4	17,5	5,3	6,1
2,8	14,3	15,3	5,6	8,3
2,9	13,7	17,1	5,7	7,4
3,0	13,5	14,4	5,7	6,1
3,1	19,0	17,8	4,3	7,6
3,2	32,2	17,1	5,8	8,4
3,3	70,5	23,1	5,7	11,5
3,4	170,6	36,2	8,2	17,4
3,5	328,4	74,9	14,9	41,0
3,6	486,9	151,3	32,6	103,8
3,7	606,2	225,5	47,7	212,6
3,8	706,9	298,0	55,9	337,5
3,9	782,1	338,8	60,4	437,9
4,0	840,8	362,5	61,0	498,1
4,1	899,2	373,5	63,0	552,3
4,2	897,9	377,4	53,5	597,2
4,3	940,4	381,6	47,8	623,3
4,4	930,6	368,9	41,9	646,3
4,5	962,3	345,1	38,7	637,5
4,6	918,9	339,0	31,5	644,1
4,7	939,8	319,6	24,5	649,6
4,8	901,4	290,2	18,4	642,1
4,9	899,3	272,0	18,6	614,9
5,0	871,8	248,8	14,4	608,0
5,1	858,5	234,0	14,2	597,7
5,2	831,0	217,9	11,7	555,7
5,3	812,6	195,3	9,6	531,6
5,4	803,3	179,2	9,2	517,4
5,5	750,0	169,9	7,0	494,0
5,6	733,2	147,5	7,4	470,0
5,7	696,3	134,6	7,2	445,5
5,8	662,2	112,5	7,4	420,1
5,9	641,2	103,9	6,6	397,6
6,0	609,2	96,0	8,8	373,3
6,1	621,2	86,0	20,3	360,4
6,2	689,4	84,6	65,3	397,6
6,3	934,1	101,7	176,7	528,3
6,4	1183,6	123,8	280,4	662,4
6,5	1206,6	117,8	309,6	671,8
6,6	923,8	84,6	226,6	488,3
6,7	595,6	51,2	132,9	301,4
6,8	503,8	54,7	103,5	261,2
6,9	520,4	99,5	105,2	256,8
7,0	745,4	294,6	134,6	350,0
7,1	1510,0	845,8	270,1	714,4
7,2	2144,2	1328,1	424,6	1061,8
7,3	2205,5	1395,6	422,7	1118,7
7,4	1578,2	943,8	263,5	735,2
7,5	700,3	392,1	98,8	302,6
7,6	437,7	229,6	54,2	189,5
7,7	402,1	211,7	42,4	180,7
7,8	380,5	194,1	42,5	175,4
7,9	373,3	195,2	38,4	163,4
8,0	354,3	184,8	31,5	165,2
8,1	347,9	174,7	30,2	156,6
8,2	337,9	161,1	26,0	148,9
8,3	337,2	159,9	26,8	155,5
8,4	317,9	155,2	27,1	141,9
8,5	303,7	152,8	22,4	141,9
8,6	291,1	138,6	20,0	141,3
8,7	287,8	129,7	18,9	135,3
8,8	277,1	131,5	18,5	135,3
8,9	268,7	118,3	17,4	135,7
9,0	263,6	113,4	15,7	123,2
9,1	254,4	105,0	14,4	124,3
9,2	240,1	103,3	15,5	118,2
9,3	241,0	98,0	13,6	115,5
9,4	217,6	89,7	12,7	116,9
9,5	208,5	87,4	12,2	113,9
9,6	208,8	84,0	10,6	105,8
9,7	199,2	82,3	13,5	105,0
9,8	191,2	76,2	11,3	103,7
9,9	185,4	75,7	11,8	101,2
10,0	183,0	73,5	12,6	101,7
10,1	182,1	68,1	11,0	100,1
10,2	168,1	68,7	12,3	89,4
10,3	161,4	62,2	11,1	92,0
10,4	163,2	59,2	11,9	89,4
10,5	148,7	62,2	12,1	87,2
10,6	142,9	58,5	10,9	86,6
10,7	148,4	53,7	10,8	85,6
10,8	140,5	57,3	11,0	82,4
10,9	146,4	55,2	12,4	81,5
11,0	137,8	57,0	13,1	75,5
11,1	133,4	49,7	11,8	77,2
11,2	131,6	56,3	12,6	76,0
11,3	123,6	50,3	9,9	75,8
11,4	125,8	50,5	11,5	75,8
11,5	123,7	51,7	11,7	79,4
11,6	120,8	52,7	11,4	74,2
11,7	114,2	52,8	12,5	71,8
11,8	115,7	45,3	11,8	75,0
11,9	117,1	48,5	14,4	70,6
12,0	112,1	47,3	12,5	72,3
