&b / °	R_0 / 1/s	R_1 / 1/s	R_2 / 1/s	R_3 / 1/s	R_4 / 1/s	R_5 / 1/s
2,5	6	6,0	2,3	1,3	0,0	0,7
2,6	8	6,0	4,3	2,7	2,3	1,3
2,7	5	6,7	5,3	1,0	1,7	0,7
2,8	8	6,7	3,7	0,7	1,3	0,7
2,9	6	6,0	3,3	2,7	0,3	1,0
3,0	17	7,3	3,0	2,0	1,3	0,3
3,1	17	11,3	4,3	3,0	1,0	0,7
3,2	31	22,7	2,7	3,3	0,7	0,3
3,3	86	46,3	4,3	3,7	1,0	0,7
3,4	251	164,3	4,0	2,3	0,3	1,0
3,5	562	396,7	2,7	2,0	1,7	0,7
3,6	815	658,7	6,0	2,0	0,7	0,7
3,7	954	880,3	7,7	2,0	1,0	0,0
3,8	1084	1014,3	6,3	4,3	2,3	0,0
3,9	1250	1076,3	22,3	3,3	1,3	0,3
4,0	1296	1151,3	80,3	1,3	1,7	0,3
4,1	1359	1226,0	213,7	2,3	1,0	0,3
4,2	1309	1238,3	375,0	3,7	0,3	0,0
4,3	1393	1252,7	490,0	1,7	1,3	0,3
4,4	1338	1255,0	602,3	3,7	0,3	0,7
4,5	1347	1235,7	630,7	19,0	1,3	0,7
4,6	1267	1237,7	687,3	50,3	2,3	0,7
4,7	1294	1194,3	708,0	137,0	0,3	0,0
4,8	1244	1190,3	721,3	208,7	2,0	0,3
4,9	1231	1126,7	696,7	286,3	1,0	1,3
5,0	1172	1108,0	723,3	333,3	0,7	1,0
5,1	1166	1087,0	701,7	354,3	2,7	0,7
5,2	1018	1044,0	687,0	394,3	1,3	0,7
5,3	1067	1006,7	676,3	391,0	14,3	0,0
5,4	940	947,0	661,3	390,3	34,0	1,0
5,5	920	891,0	656,7	397,3	68,0	0,3
5,6	929	871,3	632,0	390,7	113,0	0,3
5,7	918	828,3	594,3	379,0	127,3	0,0
5,8	828	750,7	585,0	350,3	142,0	0,7
5,9	787	740,3	536,0	367,7	161,3	0,7
6,0	731	698,0	523,0	356,3	157,7	0,3
6,1	697	678,0	510,0	372,3	188,7	1,0
6,2	797	738,3	559,0	390,0	191,7	0,7
6,3	1163	1081,7	753,0	486,0	213,7	2,3
6,4	1459	1350,7	906,3	532,0	248,7	3,0
6,5	1447	1354,3	874,3	533,3	233,0	5,7
6,6	985	913,3	630,0	406,7	207,3	15,7
6,7	614	563,7	406,0	297,3	184,7	33,3
6,8	589	528,0	389,0	280,7	173,7	40,7
6,9	600	544,0	394,3	262,0	182,7	46,0
7,0	837	766,3	497,0	318,7	189,3	55,3
