E,Mu
1.057,2.226	
1.066,2.172	
1.075,2.120	
1.084,2.068	
1.093,2.017	
1.103,1.968	
1.112,1.918	
1.122,1.870	
1.132,1.822	
1.142,1.775	
1.152,1.729	
1.162,1.684	
1.173,1.639	
1.184,1.596	
1.195,1.553	
1.206,1.510	
1.218,1.469	
1.229,1.428	
1.241,1.388	
1.253,1.349	
1.266,1.310	
1.279,1.273	
1.291,1.235	
1.305,1.199	
1.318,1.163	
1.332,1.128	
1.346,1.094	
1.360,1.060	
1.375,1.027	
1.390,9.953	
1.405,9.636	
1.421,9.328	
1.437,9.026	
1.453,8.730	
1.470,8.440	
1.487,8.156	
1.505,7.881	
1.523,7.610	
1.541,7.345	
1.560,7.087	
1.580,6.836	
1.599,6.590	
1.620,6.350	
1.641,6.116	
1.662,5.888	
1.684,5.666	
1.707,5.449	
1.730,5.238	
1.754,5.033	
1.778,4.833	
1.804,4.639	
1.830,4.450	
1.857,4.266	
1.884,4.088	
1.913,3.915	
1.942,3.747	
1.972,3.584	
2.003,3.426	
2.035,3.272	
2.069,3.124	
2.103,2.981	
2.139,2.842	
2.175,2.708	
2.213,2.578	
2.253,2.453	
2.294,2.332	
2.336,2.216	
2.380,2.103	
2.425,1.995	
2.473,1.891	
2.522,1.791	
2.574,1.695	
2.627,1.603	
2.683,1.515	
2.741,1.430	
2.802,1.349	
2.865,1.271	
2.932,1.197	
3.002,1.127	
3.075,1.059	
3.151,9.951	
3.232,9.341	
3.317,8.762	
3.406,8.212	
3.501,7.691	
3.601,7.198	
3.707,6.733	
3.819,6.293	
3.938,5.880	
4.065,5.491	
4.200,5.126	
4.345,4.785	
4.500,4.465	
4.667,4.167	
4.846,3.890	
5.040,3.632	
