E,Mu
1.057,7.367
1.066,7.203
1.075,7.042
1.084,6.884
1.093,6.726
1.103,6.573
1.112,6.420
1.122,6.270
1.132,6.122
1.142,5.978
1.152,5.834
1.162,5.693
1.173,5.553
1.184,5.417
1.195,5.283
1.206,5.150
1.218,5.019
1.229,4.891
1.241,4.765
1.253,4.641
1.266,4.518
1.279,4.398
1.291,4.281
1.305,4.164
1.318,4.050
1.332,3.938
1.346,3.827
1.360,3.719
1.375,3.613
1.390,3.509
1.405,3.406
1.421,3.305
1.437,3.206
1.453,3.109
1.470,3.014
1.487,2.920
1.505,2.829
1.523,2.737
1.541,2.648
1.560,2.560
1.580,2.475
1.599,2.391
1.620,2.309
1.641,2.229
1.662,2.151
1.684,2.075
1.707,2.000
1.730,1.927
1.754,1.857
1.778,1.788
1.804,1.721
1.830,1.655
1.857,1.592
1.884,1.530
1.913,1.470
1.942,1.413
1.972,1.357
2.003,7.954
2.035,7.928
2.069,7.858
2.103,7.746
2.139,7.595
2.175,7.407
2.213,7.184
2.253,6.933
2.294,6.657
2.336,6.361
2.380,6.049
2.425,5.727
2.473,5.399
2.522,5.069
2.574,4.743
2.627,4.423
2.683,4.113
2.741,3.817
2.802,3.536
2.865,3.273
2.932,3.029
3.002,2.805
3.075,2.602
3.151,2.417
3.232,2.248
3.317,2.093
3.406,1.949
3.501,1.815
3.601,1.689
3.707,1.570
3.819,1.457
3.938,1.347
4.065,1.241
4.200,1.137
4.345,1.038
4.500,9.427
4.667,8.525
4.846,7.678
5.040,6.887
