E,Mu
1.057,6.369
1.066,6.226
1.075,6.086
1.084,5.949
1.093,5.812
1.103,5.679
1.112,5.546
1.122,5.416
1.132,5.288
1.142,5.163
1.152,5.038
1.162,4.916
1.173,4.795
1.184,4.677
1.195,4.560
1.206,4.445
1.218,4.332
1.229,4.220
1.241,4.111
1.253,4.004
1.266,3.898
1.279,3.794
1.291,3.692
1.305,3.592
1.318,3.493
1.332,3.396
1.346,3.301
1.360,3.207
1.375,3.115
1.390,3.026
1.405,2.937
1.421,2.850
1.437,2.765
1.453,2.682
1.470,2.600
1.487,2.519
1.505,2.441
1.523,2.363
1.541,2.286
1.560,2.212
1.580,2.139
1.599,2.067
1.620,1.997
1.641,1.929
1.662,1.862
1.684,1.797
1.707,1.733
1.730,1.670
1.754,1.610
1.778,1.550
1.804,9.416
1.830,9.080
1.857,8.751
1.884,8.428
1.913,8.113
1.942,7.805
1.972,7.503
2.003,7.208
2.035,6.918
2.069,6.636
2.103,6.360
2.139,6.090
2.175,5.827
2.213,5.569
2.253,5.319
2.294,5.075
2.336,4.837
2.380,4.606
2.425,4.381
2.473,4.163
2.522,3.950
2.574,3.745
2.627,3.546
2.683,3.352
2.741,3.166
2.802,2.986
2.865,2.811
2.932,2.643
3.002,2.482
3.075,2.326
3.151,2.176
3.232,2.033
3.317,1.895
3.406,1.763
3.501,1.637
3.601,1.517
3.707,1.402
3.819,1.292
3.938,1.188
4.065,1.090
4.200,9.961
4.345,9.078
4.500,8.246
4.667,7.463
4.846,6.728
5.040,6.041
