Tensao [V],Corrente [A]
-5,-0.000135422
-4.95,-0.0001227191
-4.9,-0.00011663
-4.85,-0.0001146382
-4.8,-0.0001116291
-4.75,-0.0001089119
-4.7,-0.0001071063
-4.65,-0.0001048328
-4.6,-0.0001039037
-4.55,-0.0001036303
-4.5,-0.0001016128
-4.45,-0.0001018175
-4.4,-0.0001014976
-4.35,-9.929264E-05
-4.3,-9.883791E-05
-4.25,-9.662684E-05
-4.2,-9.548932E-05
-4.15,-9.625302E-05
-4.1,-9.488517E-05
-4.05,-9.385311E-05
-4,-9.364591E-05
-3.95,-9.216042E-05
-3.9,-9.127058E-05
-3.85,-9.013441E-05
-3.8,-8.899081E-05
-3.75,-8.959745E-05
-3.7,-8.820879E-05
-3.65,-8.673678E-05
-3.6,-8.760822E-05
-3.55,-8.644633E-05
-3.5,-8.543393E-05
-3.45,-8.460286E-05
-3.4,-8.380492E-05
-3.35,-8.595723E-05
-3.3,-8.195294E-05
-3.25,-8.087561E-05
-3.2,-8.098095E-05
-3.15,-8.127142E-05
-3.1,-8.054708E-05
-3.05,-7.976391E-05
-3,-7.827832E-05
-2.95,-7.841932E-05
-2.9,-7.778931E-05
-2.85,-7.743394E-05
-2.8,-7.658441E-05
-2.75,-7.504011E-05
-2.7,-7.524723E-05
-2.65,-7.394556E-05
-2.6,-7.233378E-05
-2.55,-7.272111E-05
-2.5,-7.03396E-05
-2.45,-6.986284E-05
-2.4,-6.828783E-05
-2.35,-6.758307E-05
-2.3,-6.766268E-05
-2.25,-6.609138E-05
-2.2,-6.530208E-05
-2.15,-6.449922E-05
-2.1,-6.333608E-05
-2.05,-6.214226E-05
-2,-6.031232E-05
-1.95,-5.956831E-05
-1.9,-5.872136E-05
-1.85,-5.793324E-05
-1.8,-5.652864E-05
-1.75,-5.545861E-05
-1.7,-5.490213E-05
-1.65,-5.380027E-05
-1.6,-5.288218E-05
-1.55,-5.19286E-05
-1.5,-5.175456E-05
-1.45,-5.115034E-05
-1.4,-4.982659E-05
-1.35,-4.907158E-05
-1.3,-4.810938E-05
-1.25,-4.65295E-05
-1.2,-4.496924E-05
-1.15,-4.371162E-05
-1.1,-4.335868E-05
-1.05,-4.168195E-05
-1,-3.966692E-05
-0.95,-3.754278E-05
-0.9,-3.605728E-05
-0.85,-3.357896E-05
-0.8,-2.964085E-05
-0.75,-2.529088E-05
-0.7,-1.758993E-05
-0.65,-4.806059E-06
-0.6,1.786946E-05
-0.55,6.238718E-05
-0.5,0.0001511996
-0.45,0.0003226482
-0.4,0.0006224813
-0.35,0.001106986
-0.3,0.001860318
-0.25,0.003503763
-0.2,0.004737799
-0.15,0.007031938
-0.1,0.01013691
-0.05,0.0139887
0,0.0194391
0.05,0.02554011
0.1,0.0304384
0.15,0.03525267
0.2,0.03995861
0.25,0.04460345
0.3,0.04924761
0.35,0.05388094
0.4,0.05849395
0.45,0.06303696
0.5,0.0675093
0.55,0.07192168
0.6,0.07628616
0.65,0.0805932
0.7,0.08480811
0.75,0.08893891
0.8,0.09299805
0.85,0.09694909
0.9,0.1007803
0.95,0.104506
1,0.108133
1.05,0.1116684
1.1,0.1150793
1.15,0.1183868
1.2,0.1216005
1.25,0.1246946
1.3,0.1276679
1.35,0.1305136
1.4,0.1332346
1.45,0.1358571
1.5,0.1383311
1.55,0.1406642
1.6,0.142875
1.65,0.1449828
1.7,0.146956
1.75,0.1488333
1.8,0.1506075
1.85,0.1523239
1.9,0.1539459
1.95,0.1554944
2,0.1569994
2.05,0.1584383
2.1,0.1598295
2.15,0.1611556
2.2,0.162444
2.25,0.1636959
2.3,0.1649156
2.35,0.1660814
2.4,0.1672161
2.45,0.1683306
2.5,0.169426
2.55,0.1704752
2.6,0.17149
2.65,0.1725003
2.7,0.173485
2.75,0.1744323
2.8,0.1753441
2.85,0.176233
2.9,0.1771047
2.95,0.177934
3,0.1787121
3.05,0.179477
3.1,0.1802105
3.15,0.1809154
3.2,0.1815631
3.25,0.1821925
3.3,0.1828163
3.35,0.1834295
3.4,0.1839917
3.45,0.1845399
3.5,0.1851052
3.55,0.1856593
3.6,0.1861866
3.65,0.1867062
3.7,0.1872488
3.75,0.1877875
3.8,0.1883101
3.85,0.188841
3.9,0.1893755
3.95,0.1899338
4,0.1904469
4.05,0.1909766
4.1,0.191514
4.15,0.1920517
4.2,0.1925816
4.25,0.1931126
4.3,0.1936323
4.35,0.1941636
4.4,0.1946815
4.45,0.1951951
4.5,0.195705
4.55,0.1962249
4.6,0.1967316
4.65,0.1972243
4.7,0.1977093
4.75,0.1982099
4.8,0.1986788
4.85,0.1991513
4.9,0.1996105
4.95,0.2000667
5,0.2005316
