Tensao [V],Corrente [A]
-5,-0.002461478
-4.95,-0.002501126
-4.9,-0.002499915
-4.85,-0.002496179
-4.8,-0.002493048
-4.75,-0.002490576
-4.7,-0.00248976
-4.65,-0.002487597
-4.6,-0.002484472
-4.55,-0.002483478
-4.5,-0.002481845
-4.45,-0.002479793
-4.4,-0.002477952
-4.35,-0.002476712
-4.3,-0.002476095
-4.25,-0.002474693
-4.2,-0.002472787
-4.15,-0.002470127
-4.1,-0.002469793
-4.05,-0.002469589
-4,-0.002467466
-3.95,-0.002466201
-3.9,-0.002464824
-3.85,-0.00246393
-3.8,-0.002462538
-3.75,-0.002460121
-3.7,-0.002458659
-3.65,-0.002457913
-3.6,-0.002456009
-3.55,-0.002454958
-3.5,-0.002453686
-3.45,-0.002453356
-3.4,-0.00245192
-3.35,-0.002450208
-3.3,-0.002447347
-3.25,-0.002446372
-3.2,-0.00244534
-3.15,-0.002443496
-3.1,-0.002441651
-3.05,-0.002441606
-3,-0.002440454
-2.95,-0.002438906
-2.9,-0.002437078
-2.85,-0.002435126
-2.8,-0.002433639
-2.75,-0.002431238
-2.7,-0.002429972
-2.65,-0.002429775
-2.6,-0.002427942
-2.55,-0.002425525
-2.5,-0.002421612
-2.45,-0.002419082
-2.4,-0.002416382
-2.35,-0.002411139
-2.3,-0.002406009
-2.25,-0.002400651
-2.2,-0.002394886
-2.15,-0.002387793
-2.1,-0.002378484
-2.05,-0.002370066
-2,-0.002362508
-1.95,-0.002350296
-1.9,-0.002337189
-1.85,-0.00232404
-1.8,-0.002308039
-1.75,-0.002287747
-1.7,-0.002262829
-1.65,-0.002232089
-1.6,-0.002193552
-1.55,-0.002141576
-1.5,-0.002073971
-1.45,-0.001963666
-1.4,-0.001880504
-1.35,-0.001744503
-1.3,-0.001572936
-1.25,-0.001361077
-1.2,-0.001098833
-1.15,-0.0007704928
-1.1,-0.0003428469
-1.05,0.0002452386
-1,0.001084163
-0.95,0.002907092
-0.9,0.004215268
-0.85,0.006879327
-0.8,0.0108666
-0.75,0.01655896
-0.7,0.02851507
-0.65,0.03981156
-0.6,0.05370952
-0.55,0.0704006
-0.5,0.09026515
-0.45,0.1135424
-0.4,0.140415
-0.35,0.1707597
-0.3,0.2042795
-0.25,0.2405089
-0.2,0.2789721
-0.15,0.3193986
-0.1,0.3615624
-0.05,0.4053933
0,0.4513416
0.05,0.4987106
0.1,0.5482181
0.15,0.5995715
0.2,0.6528376
0.25,0.7081903
0.3,0.7656442
0.35,0.8251537
0.4,0.8865198
0.45,0.9498715
0.5,1.015096
0.55,1.08216
0.6,1.150999
0.65,1.22151
0.7,1.29363
0.75,1.367175
0.8,1.441972
0.85,1.517773
0.9,1.594483
0.95,1.671894
1,1.749768
1.05,1.828069
1.1,1.906576
1.15,1.985203
1.2,2.063816
1.25,2.142271
1.3,2.220364
1.35,2.298282
1.4,2.375401
1.45,2.451918
1.5,2.527363
1.55,2.60212
1.6,2.675742
1.65,2.748391
1.7,2.820153
1.75,2.890818
1.8,2.960319
1.85,3.029186
1.9,3.096774
1.95,3.163593
2,3.229688
2.05,3.295084
2.1,3.35947
2.15,3.422877
2.2,3.485851
2.25,3.547976
2.3,3.609135
2.35,3.669887
2.4,3.7297
2.45,3.78894
2.5,3.847446
2.55,3.905224
2.6,3.962116
2.65,4.01825
2.7,4.073529
2.75,4.127787
2.8,4.181347
2.85,4.234008
2.9,4.285158
2.95,4.335096
3,4.383677
3.05,4.431279
3.1,4.477532
3.15,4.52288
3.2,4.567151
3.25,4.610597
3.3,4.652631
3.35,4.694393
3.4,4.735391
3.45,4.775608
3.5,4.815309
3.55,4.854251
3.6,4.892377
3.65,4.929631
3.7,4.966575
3.75,5.003237
3.8,5.039246
3.85,5.074778
3.9,5.110086
3.95,5.144589
4,5.178924
4.05,5.212332
4.1,5.245407
4.15,5.277665
4.2,5.309727
4.25,5.341058
4.3,5.371952
4.35,5.402124
4.4,5.43234
4.45,5.461563
4.5,5.490576
4.55,5.519086
4.6,5.547022
4.65,5.574273
4.7,5.60156
4.75,5.627734
4.8,5.653906
4.85,5.679423
4.9,5.704655
4.95,5.729616
5,5.753947
