Tensao [V],Corrente [A]
-5,-0.0001544813
-4.95,-0.00014155
-4.9,-0.000133991
-4.85,-0.0001294475
-4.8,-0.0001246636
-4.75,-0.0001214952
-4.7,-0.0001184653
-4.65,-0.0001151215
-4.6,-0.0001136151
-4.55,-0.0001098289
-4.5,-0.0001075038
-4.45,-0.0001053992
-4.4,-0.0001023032
-4.35,-9.981133E-05
-4.3,-9.747148E-05
-4.25,-9.508624E-05
-4.2,-9.312993E-05
-4.15,-9.091883E-05
-4.1,-8.935604E-05
-4.05,-8.72209E-05
-4,-8.514085E-05
-3.95,-8.300335E-05
-3.9,-8.050162E-05
-3.85,-7.890821E-05
-3.8,-7.700351E-05
-3.75,-7.572636E-05
-3.7,-7.384247E-05
-3.65,-7.169377E-05
-3.6,-6.936128E-05
-3.55,-6.672966E-05
-3.5,-6.508973E-05
-3.45,-6.442781E-05
-3.4,-6.292387E-05
-3.35,-6.115765E-05
-3.3,-5.899672E-05
-3.25,-5.723544E-05
-3.2,-5.529148E-05
-3.15,-5.35191E-05
-3.1,-5.141948E-05
-3.05,-5.008348E-05
-3,-4.875236E-05
-2.95,-4.685744E-05
-2.9,-4.528485E-05
-2.85,-4.389491E-05
-2.8,-4.248535E-05
-2.75,-4.045438E-05
-2.7,-3.869675E-05
-2.65,-3.719525E-05
-2.6,-3.495711E-05
-2.55,-3.304011E-05
-2.5,-3.119176E-05
-2.45,-2.996117E-05
-2.4,-2.824886E-05
-2.35,-2.644463E-05
-2.3,-2.533168E-05
-2.25,-2.38253E-05
-2.2,-2.217428E-05
-2.15,-2.067403E-05
-2.1,-1.882078E-05
-2.05,-1.700919E-05
-2,-1.484706E-05
-1.95,-1.351841E-05
-1.9,-1.222161E-05
-1.85,-1.095056E-05
-1.8,-9.321606E-06
-1.75,-7.264881E-06
-1.7,-6.30516E-06
-1.65,-4.247208E-06
-1.6,-2.555742E-06
-1.55,-1.132705E-06
-1.5,1.702165E-07
-1.45,1.520966E-06
-1.4,3.321558E-06
-1.35,4.325428E-06
-1.3,5.685984E-06
-1.25,7.565022E-06
-1.2,8.806679E-06
-1.15,1.058644E-05
-1.1,1.185016E-05
-1.05,1.32291E-05
-1,1.447566E-05
-0.95,1.641722E-05
-0.9,1.840534E-05
-0.85,1.944107E-05
-0.8,2.057979E-05
-0.75,2.189866E-05
-0.7,2.347493E-05
-0.65,2.514315E-05
-0.6,2.645837E-05
-0.55,2.859113E-05
-0.5,3.041745E-05
-0.45,3.178168E-05
-0.4,3.253794E-05
-0.35,3.38066E-05
-0.3,3.530073E-05
-0.25,3.646517E-05
-0.2,3.903924E-05
-0.15,4.027106E-05
-0.1,4.169292E-05
-0.05,4.319566E-05
0,4.413578E-05
0.05,4.19797E-05
0.1,4.238543E-05
0.15,4.354988E-05
0.2,4.470328E-05
0.25,4.625628E-05
0.3,4.826402E-05
0.35,5.114691E-05
0.4,5.435467E-05
0.45,5.40115E-05
0.5,4.951674E-05
0.55,5.57005E-05
0.6,5.690783E-05
0.65,5.822056E-05
0.7,6.045749E-05
0.75,6.18794E-05
0.8,6.293228E-05
0.85,6.429651E-05
0.9,6.616577E-05
0.95,6.811095E-05
1,6.967382E-05
1.05,7.173914E-05
1.1,7.371992E-05
1.15,7.449209E-05
1.2,7.566998E-05
1.25,7.657338E-05
1.3,7.834458E-05
1.35,7.943915E-05
1.4,8.083033E-05
1.45,8.265544E-05
1.5,8.405773E-05
1.55,8.561192E-05
1.6,8.685602E-05
1.65,8.835022E-05
1.7,8.961756E-05
1.75,9.077463E-05
1.8,9.272969E-05
1.85,9.393459E-05
1.9,9.484041E-05
1.95,9.584796E-05
2,9.77908E-05
2.05,0.000100149
2.1,0.0001014225
2.15,0.0001027537
2.2,0.0001039231
2.25,0.0001051291
2.3,0.0001064799
2.35,0.0001081163
2.4,0.0001097722
2.45,0.0001105285
2.5,0.0001120105
2.55,0.0001132998
2.6,0.0001146396
2.65,0.0001162698
2.7,0.000117417
2.75,0.0001188107
2.8,0.0001199898
2.85,0.0001215134
2.9,0.000123482
2.95,0.000125155
3,0.000126963
3.05,0.0001280281
3.1,0.0001297944
3.15,0.0001313511
3.2,0.0001321846
3.25,0.0001334089
3.3,0.0001345895
3.35,0.0001363459
3.4,0.0001372076
3.45,0.0001387324
3.5,0.0001403429
3.55,0.0001416081
3.6,0.0001434171
3.65,0.0001444663
3.7,0.0001463859
3.75,0.0001476446
3.8,0.0001488998
3.85,0.0001496267
3.9,0.0001498166
3.95,0.0001517753
4,0.000153886
4.05,0.0001554954
4.1,0.0001571685
4.15,0.000157921
4.2,0.0001598908
4.25,0.0001612807
4.3,0.0001628901
4.35,0.0001642066
4.4,0.0001651357
4.45,0.0001671079
4.5,0.000168406
4.55,0.0001704064
4.6,0.0001714714
4.65,0.0001725575
4.7,0.0001737942
4.75,0.0001753619
4.8,0.000176932
4.85,0.0001779557
4.9,0.0001790783
4.95,0.0001805014
5,0.0001818423
