Tensao [V],Corrente [A]
-5,-0.000195204
-4.95,-0.0001780051
-4.9,-0.0001710923
-4.85,-0.0001669885
-4.8,-0.0001624352
-4.75,-0.0001577274
-4.7,-0.0001543848
-4.65,-0.0001534839
-4.6,-0.0001538491
-4.55,-0.0001551042
-4.5,-0.0001531482
-4.45,-0.0001515706
-4.4,-0.0001505091
-4.35,-0.0001490383
-4.3,-0.0001474891
-4.25,-0.0001449666
-4.2,-0.0001440975
-4.15,-0.0001458724
-4.1,-0.0001462963
-4.05,-0.0001441736
-4,-0.0001426979
-3.95,-0.0001427996
-3.9,-0.0001406925
-3.85,-0.0001390379
-3.8,-0.000138186
-3.75,-0.0001372239
-3.7,-0.0001362715
-3.65,-0.0001335248
-3.6,-0.00013503
-3.55,-0.0001362029
-3.5,-0.0001350263
-3.45,-0.0001343938
-3.4,-0.0001331509
-3.35,-0.0001327721
-3.3,-0.0001323211
-3.25,-0.000131637
-3.2,-0.0001310206
-3.15,-0.0001302803
-3.1,-0.0001293353
-3.05,-0.0001281624
-3,-0.0001273779
-2.95,-0.0001276292
-2.9,-0.0001267148
-2.85,-0.0001257575
-2.8,-0.000125022
-2.75,-0.0001240342
-2.7,-0.000123137
-2.65,-0.0001216489
-2.6,-0.00012078
-2.55,-0.0001209196
-2.5,-0.0001199673
-2.45,-0.0001183678
-2.4,-0.0001170515
-2.35,-0.0001162302
-2.3,-0.0001154997
-2.25,-0.0001135544
-2.2,-0.0001117773
-2.15,-0.0001106043
-2.1,-0.0001082081
-2.05,-0.000105634
-2,-0.0001028261
-1.95,-0.0001005794
-1.9,-9.782152E-05
-1.85,-9.483316E-05
-1.8,-9.132536E-05
-1.75,-8.819004E-05
-1.7,-8.450068E-05
-1.65,-7.972659E-05
-1.6,-7.640129E-05
-1.55,-7.245948E-05
-1.5,-6.891603E-05
-1.45,-6.517762E-05
-1.4,-5.960808E-05
-1.35,-5.525809E-05
-1.3,-4.936127E-05
-1.25,-4.021762E-05
-1.2,-2.818498E-05
-1.15,-1.232205E-05
-1.1,8.344543E-06
-1.05,3.769196E-05
-1,7.492441E-05
-0.95,0.0001262944
-0.9,0.0001976742
-0.85,0.0003038902
-0.8,0.0004695594
-0.75,0.0007343113
-0.7,0.001168869
-0.65,0.001878367
-0.6,0.003509095
-0.55,0.004743278
-0.5,0.007164306
-0.45,0.01068021
-0.4,0.01555594
-0.35,0.02528251
-0.3,0.03388742
-0.25,0.04383432
-0.2,0.05486665
-0.15,0.06689346
-0.1,0.07988554
-0.05,0.09367991
0,0.1081489
0.05,0.1228859
0.1,0.1380252
0.15,0.1533494
0.2,0.1687926
0.25,0.184295
0.3,0.1998679
0.35,0.2155293
0.4,0.2313323
0.45,0.2472196
0.5,0.2631138
0.55,0.2790302
0.6,0.2950131
0.65,0.3111447
0.7,0.3274281
0.75,0.3438456
0.8,0.3602955
0.85,0.3767059
0.9,0.3929701
0.95,0.409031
1,0.4247801
1.05,0.4401873
1.1,0.4552425
1.15,0.4698722
1.2,0.484057
1.25,0.4977701
1.3,0.5110749
1.35,0.52396
1.4,0.5364399
1.45,0.5485321
1.5,0.5602324
1.55,0.5715562
1.6,0.5825026
1.65,0.5931061
1.7,0.6033629
1.75,0.6132725
1.8,0.6228525
1.85,0.6321018
1.9,0.6411028
1.95,0.6498198
2,0.6582569
2.05,0.6664162
2.1,0.674358
2.15,0.6820849
2.2,0.6895975
2.25,0.6969379
2.3,0.7040986
2.35,0.7111311
2.4,0.7179612
2.45,0.7246021
2.5,0.7311193
2.55,0.7374497
2.6,0.7435785
2.65,0.7495445
2.7,0.7553353
2.75,0.7608971
2.8,0.7663164
2.85,0.7714939
2.9,0.7764923
2.95,0.7813208
3,0.78595
3.05,0.7904245
3.1,0.7947524
3.15,0.7989481
3.2,0.8030137
3.25,0.8069777
3.3,0.8108021
3.35,0.8145408
3.4,0.8182343
3.45,0.8218552
3.5,0.8254361
3.55,0.8289895
3.6,0.832504
3.65,0.8359967
3.7,0.8394635
3.75,0.8429299
3.8,0.846405
3.85,0.8498532
3.9,0.8532942
3.95,0.8567401
4,0.8601824
4.05,0.8636286
4.1,0.8670453
4.15,0.8704308
4.2,0.8738032
4.25,0.8772
4.3,0.8805593
4.35,0.8839012
4.4,0.8872191
4.45,0.8905169
4.5,0.89378
4.55,0.8970026
4.6,0.9001934
4.65,0.9033409
4.7,0.9064454
4.75,0.9095073
4.8,0.9125033
4.85,0.9154884
4.9,0.9184191
4.95,0.921291
5,0.924105
