Tensao [V],Corrente [A]
-5,-0.0002219207
-4.95,-0.0002074626
-4.9,-0.000197695
-4.85,-0.000193231
-4.8,-0.0001897355
-4.75,-0.0001879973
-4.7,-0.0001862313
-4.65,-0.0001830346
-4.6,-0.0001804434
-4.55,-0.0001810097
-4.5,-0.0001761279
-4.45,-0.0001747514
-4.4,-0.0001798282
-4.35,-0.0001733724
-4.3,-0.0001692627
-4.25,-0.0001671227
-4.2,-0.0001651702
-4.15,-0.0001629724
-4.1,-0.0001609747
-4.05,-0.0001584387
-4,-0.0001566333
-3.95,-0.0001547665
-3.9,-0.0001528948
-3.85,-0.0001508959
-3.8,-0.0001478682
-3.75,-0.0001464355
-3.7,-0.0001446203
-3.65,-0.000142941
-3.6,-0.0001407569
-3.55,-0.0001393106
-3.5,-0.0001382467
-3.45,-0.0001354203
-3.4,-0.000133518
-3.35,-0.0001324455
-3.3,-0.0001313105
-3.25,-0.000128815
-3.2,-0.0001260206
-3.15,-0.0001254432
-3.1,-0.0001238191
-3.05,-0.0001208811
-3,-0.0001193024
-2.95,-0.0001180351
-2.9,-0.0001172249
-2.85,-0.0001146816
-2.8,-0.0001138617
-2.75,-0.000112131
-2.7,-0.0001083118
-2.65,-0.0001075665
-2.6,-0.0001050489
-2.55,-0.000103779
-2.5,-0.000102589
-2.45,-0.0001060626
-2.4,-0.0001011733
-2.35,-9.788852E-05
-2.3,-9.518347E-05
-2.25,-9.398585E-05
-2.2,-9.144745E-05
-2.15,-8.884409E-05
-2.1,-8.770793E-05
-2.05,-8.694188E-05
-2,-8.342902E-05
-1.95,-8.259803E-05
-1.9,-7.985984E-05
-1.85,-7.647077E-05
-1.8,-7.831913E-05
-1.75,-7.549634E-05
-1.7,-7.337717E-05
-1.65,-7.406348E-05
-1.6,-7.136457E-05
-1.55,-6.764709E-05
-1.5,-6.806871E-05
-1.45,-6.439655E-05
-1.4,-6.053933E-05
-1.35,-6.308509E-05
-1.3,-6.0782E-05
-1.25,-5.731452E-05
-1.2,-5.801072E-05
-1.15,-5.428338E-05
-1.1,-5.248169E-05
-1.05,-5.301731E-05
-1,-4.886955E-05
-0.95,-4.713277E-05
-0.9,-4.629072E-05
-0.85,-4.343731E-05
-0.8,-3.935456E-05
-0.75,-3.913269E-05
-0.7,-3.455721E-05
-0.65,-3.089239E-05
-0.6,-2.574573E-05
-0.55,-1.695265E-05
-0.5,-4.853882E-06
-0.45,1.780947E-05
-0.4,5.876061E-05
-0.35,0.0001350784
-0.3,0.0002788818
-0.25,0.0005381841
-0.2,0.0009990949
-0.15,0.001814517
-0.1,0.003889239
-0.05,0.005420422
0,0.008780202
0.05,0.01131437
0.1,0.01442882
0.15,0.01754904
0.2,0.02060277
0.25,0.02509632
0.3,0.02798605
0.35,0.03082915
0.4,0.03359122
0.45,0.03624999
0.5,0.03881342
0.55,0.04127167
0.6,0.0436271
0.65,0.04588658
0.7,0.04804437
0.75,0.05010726
0.8,0.05208662
0.85,0.05396036
0.9,0.05574889
0.95,0.05745329
1,0.05909082
1.05,0.06065038
1.1,0.06212574
1.15,0.06353982
1.2,0.06488457
1.25,0.06615748
1.3,0.06736273
1.35,0.06849545
1.4,0.06956844
1.45,0.07058043
1.5,0.07153776
1.55,0.07243473
1.6,0.07327657
1.65,0.07406488
1.7,0.07482015
1.75,0.07552551
1.8,0.0762115
1.85,0.07686247
1.9,0.07749251
1.95,0.07810213
2,0.07868825
2.05,0.0792603
2.1,0.07981951
2.15,0.08034905
2.2,0.08087589
2.25,0.08138498
2.3,0.08188232
2.35,0.08235963
2.4,0.08282473
2.45,0.08329005
2.5,0.08372861
2.55,0.0841658
2.6,0.08458406
2.65,0.08499573
2.7,0.0853876
2.75,0.08577429
2.8,0.08614509
2.85,0.08649283
2.9,0.08683875
2.95,0.08716731
3,0.0874812
3.05,0.08778475
3.1,0.08806374
3.15,0.08833932
3.2,0.08859078
3.25,0.08883739
3.3,0.08907091
3.35,0.0893
3.4,0.08951514
3.45,0.08972991
3.5,0.08993966
3.55,0.09014427
3.6,0.09035021
3.65,0.0905458
3.7,0.09074372
3.75,0.09094614
3.8,0.09115563
3.85,0.09135613
3.9,0.09156471
3.95,0.09177898
4,0.09198495
4.05,0.09220516
4.1,0.09241445
4.15,0.09263027
4.2,0.09284494
4.25,0.09305772
4.3,0.09327608
4.35,0.09348742
4.4,0.09368471
4.45,0.09390013
4.5,0.09410341
4.55,0.09432137
4.6,0.09451604
4.65,0.09472156
4.7,0.09492454
4.75,0.09512688
4.8,0.09532352
4.85,0.09552288
4.9,0.09570745
4.95,0.0959048
5,0.09609205
