Tensao [V],Corrente [A]
-5,-0.0002645012
-4.95,-0.0002506143
-4.9,-0.0002488507
-4.85,-0.0002549444
-4.8,-0.0002520802
-4.75,-0.000251563
-4.7,-0.0002522224
-4.65,-0.0002504097
-4.6,-0.0002482695
-4.55,-0.0002471199
-4.5,-0.0002462313
-4.45,-0.0002440425
-4.4,-0.0002425946
-4.35,-0.0002425863
-4.3,-0.0002437369
-4.25,-0.000241673
-4.2,-0.0002405981
-4.15,-0.0002401667
-4.1,-0.0002394325
-4.05,-0.0002389029
-4,-0.0002377938
-3.95,-0.00023886
-3.9,-0.0002380769
-3.85,-0.0002352394
-3.8,-0.0002357124
-3.75,-0.0002350898
-3.7,-0.0002315195
-3.65,-0.0002308932
-3.6,-0.0002309657
-3.55,-0.0002314608
-3.5,-0.0002316031
-3.45,-0.0002292594
-3.4,-0.0002291712
-3.35,-0.0002290168
-3.3,-0.000229735
-3.25,-0.0002253288
-3.2,-0.0002232046
-3.15,-0.0002186476
-3.1,-0.0002194591
-3.05,-0.0002191367
-3,-0.0002184747
-2.95,-0.0002171914
-2.9,-0.0002169967
-2.85,-0.0002157648
-2.8,-0.0002120081
-2.75,-0.0002113194
-2.7,-0.0002080125
-2.65,-0.0002047032
-2.6,-0.0002016291
-2.55,-0.000197359
-2.5,-0.000191852
-2.45,-0.0001870706
-2.4,-0.000183406
-2.35,-0.000179708
-2.3,-0.0001765188
-2.25,-0.0001694541
-2.2,-0.0001606404
-2.15,-0.0001446061
-2.1,-0.0001354932
-2.05,-0.0001244916
-2,-0.0001141959
-1.95,-9.189609E-05
-1.9,-6.900546E-05
-1.85,-4.1016E-05
-1.8,-1.347886E-05
-1.75,1.922124E-05
-1.7,5.514275E-05
-1.65,9.882294E-05
-1.6,0.0001513748
-1.55,0.0002039524
-1.5,0.0002718546
-1.45,0.0003552104
-1.4,0.0004577535
-1.35,0.0005909562
-1.3,0.0007694633
-1.25,0.001008438
-1.2,0.001324041
-1.15,0.00173541
-1.1,0.002445139
-1.05,0.002956191
-1,0.003782112
-0.95,0.004814352
-0.9,0.00605881
-0.85,0.00753929
-0.8,0.009274161
-0.75,0.01130124
-0.7,0.01369037
-0.65,0.01652425
-0.6,0.01986457
-0.55,0.02568958
-0.5,0.03027537
-0.45,0.03530465
-0.4,0.04068076
-0.35,0.0463108
-0.3,0.05213107
-0.25,0.05818178
-0.2,0.06451591
-0.15,0.07115224
-0.1,0.07811168
-0.05,0.08538177
0,0.09301353
0.05,0.1008523
0.1,0.1089888
0.15,0.1173613
0.2,0.125952
0.25,0.1347675
0.3,0.143793
0.35,0.153004
0.4,0.1623702
0.45,0.1719153
0.5,0.1816258
0.55,0.1914568
0.6,0.2013836
0.65,0.2113782
0.7,0.2214792
0.75,0.2316064
0.8,0.2417927
0.85,0.2519884
0.9,0.2621383
0.95,0.2721885
1,0.2821149
1.05,0.2918922
1.1,0.3014639
1.15,0.3108276
1.2,0.3199995
1.25,0.3289987
1.3,0.3377838
1.35,0.3463672
1.4,0.3547651
1.45,0.3629881
1.5,0.3710489
1.55,0.3789083
1.6,0.3866431
1.65,0.3942245
1.7,0.4016579
1.75,0.408942
1.8,0.4161278
1.85,0.4231798
1.9,0.4301067
1.95,0.4369045
2,0.4436112
2.05,0.4502153
2.1,0.4567111
2.15,0.4630743
2.2,0.4693794
2.25,0.4756141
2.3,0.4817493
2.35,0.4877821
2.4,0.493719
2.45,0.4995928
2.5,0.5053706
2.55,0.5110372
2.6,0.5166716
2.65,0.5222032
2.7,0.5276411
2.75,0.533
2.8,0.5382565
2.85,0.5434546
2.9,0.5485738
2.95,0.5535705
3,0.5585024
3.05,0.5633447
3.1,0.5681187
3.15,0.5727849
3.2,0.5773696
3.25,0.5818782
3.3,0.5863461
3.35,0.5907221
3.4,0.5950281
3.45,0.5992758
3.5,0.6035169
3.55,0.6076517
3.6,0.6117572
3.65,0.6158006
3.7,0.6198555
3.75,0.6238443
3.8,0.6278158
3.85,0.6318149
3.9,0.6357827
3.95,0.6396884
4,0.6435533
4.05,0.6474233
4.1,0.6512674
4.15,0.6550291
4.2,0.6587242
4.25,0.662423
4.3,0.6660838
4.35,0.669687
4.4,0.6732094
4.45,0.6766891
4.5,0.6801737
4.55,0.6835596
4.6,0.6869005
4.65,0.6901648
4.7,0.693427
4.75,0.6966147
4.8,0.6997296
4.85,0.7028282
4.9,0.7058708
4.95,0.7088582
5,0.7118022
