Tensao [V];Corrente [A]
-5;-0,0001319889
-4,95;-0,000119455
-4,9;-0,0001136159
-4,85;-0,0001105493
-4,8;-0,0001080979
-4,75;-0,0001065412
-4,7;-0,0001045557
-4,65;-0,0001034771
-4,6;-0,0001010931
-4,55;-9,948872E-05
-4,5;-9,85523E-05
-4,45;-9,725065E-05
-4,4;-9,651881E-05
-4,35;-9,541944E-05
-4,3;-9,374274E-05
-4,25;-9,319973E-05
-4,2;-9,296562E-05
-4,15;-9,192375E-05
-4,1;-9,140407E-05
-4,05;-9,110747E-05
-4;-9,003259E-05
-3,95;-8,918559E-05
-3,9;-8,844043E-05
-3,85;-8,722088E-05
-3,8;-8,724172E-05
-3,75;-8,672816E-05
-3,7;-8,599639E-05
-3,65;-8,514824E-05
-3,6;-8,35806E-05
-3,55;-8,30094E-05
-3,5;-8,19541E-05
-3,45;-8,071003E-05
-3,4;-8,074313E-05
-3,35;-8,059359E-05
-3,3;-8,026391E-05
-3,25;-7,85871E-05
-3,2;-7,813857E-05
-3,15;-7,704033E-05
-3,1;-7,669964E-05
-3,05;-7,626078E-05
-3;-7,550823E-05
-2,95;-7,597888E-05
-2,9;-7,459263E-05
-2,85;-7,321618E-05
-2,8;-7,268181E-05
-2,75;-7,198195E-05
-2,7;-7,049399E-05
-2,65;-6,937374E-05
-2,6;-6,880989E-05
-2,55;-6,808309E-05
-2,5;-6,710864E-05
-2,45;-6,653381E-05
-2,4;-6,547356E-05
-2,35;-6,439866E-05
-2,3;-6,362656E-05
-2,25;-6,246089E-05
-2,2;-6,120576E-05
-2,15;-6,026812E-05
-2,1;-5,944573E-05
-2,05;-5,87593E-05
-2;-5,730319E-05
-1,95;-5,669649E-05
-1,9;-5,584708E-05
-1,85;-5,484447E-05
-1,8;-5,426348E-05
-1,75;-5,374385E-05
-1,7;-5,287482E-05
-1,65;-5,116498E-05
-1,6;-5,032663E-05
-1,55;-4,997611E-05
-1,5;-4,881904E-05
-1,45;-4,787893E-05
-1,4;-4,669005E-05
-1,35;-4,613969E-05
-1,3;-4,44397E-05
-1,25;-4,355106E-05
-1,2;-4,280216E-05
-1,15;-4,165984E-05
-1,1;-4,070992E-05
-1,05;-3,911776E-05
-1;-3,718979E-05
-0,95;-3,494923E-05
-0,9;-3,313766E-05
-0,85;-3,123787E-05
-0,8;-2,749342E-05
-0,75;-2,258946E-05
-0,7;-1,521945E-05
-0,65;-3,164869E-06
-0,6;1,882182E-05
-0,55;6,070182E-05
-0,5;0,0001448711
-0,45;0,0003068939
-0,4;0,0005900815
-0,35;0,001048929
-0,3;0,001764263
-0,25;0,00332046
-0,2;0,004499976
-0,15;0,006687501
-0,1;0,009654149
-0,05;0,01334729
0;0,01857405
0,05;0,02445153
0,1;0,02917189
0,15;0,03380558
0,2;0,03832504
0,25;0,04279748
0,3;0,04726995
0,35;0,05172501
0,4;0,05613295
0,45;0,0604935
0,5;0,06478584
0,55;0,06902064
0,6;0,07319542
0,65;0,07731352
0,7;0,08136647
0,75;0,08533596
0,8;0,08922136
0,85;0,09302022
0,9;0,09670762
0,95;0,1002919
1;0,1037755
1,05;0,1071638
1,1;0,1104514
1,15;0,1136312
1,2;0,1167235
1,25;0,1196934
1,3;0,12256
1,35;0,1253058
1,4;0,1279325
1,45;0,1304529
1,5;0,1328472
1,55;0,1351125
1,6;0,1372752
1,65;0,1393074
1,7;0,141231
1,75;0,1430523
1,8;0,144793
1,85;0,1464483
1,9;0,1480324
1,95;0,1495454
2;0,1509957
2,05;0,1523886
2,1;0,1537381
2,15;0,1550459
2,2;0,1563029
2,25;0,1575262
2,3;0,1587086
2,35;0,1598435
2,4;0,1609596
2,45;0,1620397
2,5;0,1630996
2,55;0,1641336
2,6;0,1651381
2,65;0,1661185
2,7;0,1670742
2,75;0,1679898
2,8;0,1688997
2,85;0,1697712
2,9;0,1706166
2,95;0,1714311
3;0,1722039
3,05;0,1729639
3,1;0,1736818
3,15;0,1743697
3,2;0,1750266
3,25;0,1756626
3,3;0,1762704
3,35;0,176859
3,4;0,1774261
3,45;0,1779974
3,5;0,1785487
3,55;0,17909
3,6;0,179626
3,65;0,1801524
3,7;0,1806865
3,75;0,1812303
3,8;0,1817563
3,85;0,1822901
3,9;0,1828306
3,95;0,1833614
4;0,1839036
4,05;0,1844359
4,1;0,1849785
4,15;0,1855088
4,2;0,1860451
4,25;0,1865719
4,3;0,1871036
4,35;0,1876326
4,4;0,1881615
4,45;0,1886737
4,5;0,1891966
4,55;0,1897067
4,6;0,1902176
4,65;0,1907283
4,7;0,191221
4,75;0,1917238
4,8;0,1921994
4,85;0,1926813
4,9;0,1931615
4,95;0,1936229
5;0,1940811
