Tensao [V];Corrente [A]
-5;-0,002437181
-4,95;-0,002500395
-4,9;-0,002500238
-4,85;-0,002497654
-4,8;-0,002496308
-4,75;-0,002494092
-4,7;-0,002490998
-4,65;-0,002488643
-4,6;-0,002487357
-4,55;-0,002485087
-4,5;-0,002482664
-4,45;-0,002481158
-4,4;-0,002481208
-4,35;-0,002479687
-4,3;-0,002478093
-4,25;-0,002475838
-4,2;-0,00247478
-4,15;-0,002473984
-4,1;-0,002471331
-4,05;-0,002470305
-4;-0,002469567
-3,95;-0,00246814
-3,9;-0,002465715
-3,85;-0,00246399
-3,8;-0,002463137
-3,75;-0,002463475
-3,7;-0,002460493
-3,65;-0,00245907
-3,6;-0,002458569
-3,55;-0,002457565
-3,5;-0,002456435
-3,45;-0,002454107
-3,4;-0,002452559
-3,35;-0,002451519
-3,3;-0,002450522
-3,25;-0,002448697
-3,2;-0,00244632
-3,15;-0,002446608
-3,1;-0,002445304
-3,05;-0,002442793
-3;-0,002440764
-2,95;-0,002439049
-2,9;-0,002438586
-2,85;-0,002436715
-2,8;-0,002435244
-2,75;-0,002433506
-2,7;-0,002431464
-2,65;-0,002429446
-2,6;-0,002427016
-2,55;-0,002424452
-2,5;-0,00242375
-2,45;-0,002419838
-2,4;-0,0024157
-2,35;-0,002412627
-2,3;-0,002408057
-2,25;-0,00240194
-2,2;-0,002395311
-2,15;-0,002389054
-2,1;-0,002381999
-2,05;-0,002373483
-2;-0,002361645
-1,95;-0,002351401
-1,9;-0,002339093
-1,85;-0,002324272
-1,8;-0,002308146
-1,75;-0,002288817
-1,7;-0,002266448
-1,65;-0,002235095
-1,6;-0,002193909
-1,55;-0,002144262
-1,5;-0,002077716
-1,45;-0,001961982
-1,4;-0,001882595
-1,35;-0,001744751
-1,3;-0,00157331
-1,25;-0,001361941
-1,2;-0,001101526
-1,15;-0,0007705394
-1,1;-0,0003385565
-1,05;0,0002483012
-1;0,001086118
-0,95;0,002870975
-0,9;0,004215102
-0,85;0,006890053
-0,8;0,01088424
-0,75;0,01658398
-0,7;0,02853242
-0,65;0,03983911
-0,6;0,05377885
-0,55;0,0704944
-0,5;0,09034639
-0,45;0,1136447
-0,4;0,1405689
-0,35;0,1709329
-0,3;0,2044494
-0,25;0,2407048
-0,2;0,2792029
-0,15;0,3196123
-0,1;0,3618036
-0,05;0,4056554
0;0,4516369
0,05;0,4990733
0,1;0,5485633
0,15;0,5999321
0,2;0,6532791
0,25;0,7087041
0,3;0,7661592
0,35;0,8256367
0,4;0,8870942
0,45;0,9505005
0,5;1,015768
0,55;1,082839
0,6;1,151702
0,65;1,222296
0,7;1,294506
0,75;1,368066
0,8;1,442838
0,85;1,518727
0,9;1,595452
0,95;1,672791
1;1,75074
1,05;1,829061
1,1;1,907645
1,15;1,986241
1,2;2,064844
1,25;2,14339
1,3;2,221767
1,35;2,299472
1,4;2,376727
1,45;2,452859
1,5;2,52849
1,55;2,603225
1,6;2,676998
1,65;2,749671
1,7;2,821509
1,75;2,892236
1,8;2,961723
1,85;3,03049
1,9;3,098359
1,95;3,16514
2;3,231257
2,05;3,29649
2,1;3,360913
2,15;3,424598
2,2;3,487429
2,25;3,549529
2,3;3,611055
2,35;3,671679
2,4;3,731632
2,45;3,790749
2,5;3,8491
2,55;3,906792
2,6;3,963863
2,65;4,020079
2,7;4,075311
2,75;4,12968
2,8;4,183455
2,85;4,235938
2,9;4,287188
2,95;4,33724
3;4,385882
3,05;4,433372
3,1;4,479763
3,15;4,525235
3,2;4,56938
3,25;4,612742
3,3;4,655352
3,35;4,697075
3,4;4,737962
3,45;4,778339
3,5;4,817752
3,55;4,856779
3,6;4,89507
3,65;4,932252
3,7;4,969405
3,75;5,005909
3,8;5,041878
3,85;5,077084
3,9;5,112608
3,95;5,147111
4;5,181143
4,05;5,21492
4,1;5,247888
4,15;5,280524
4,2;5,312309
4,25;5,344059
4,3;5,374966
4,35;5,405417
4,4;5,435184
4,45;5,464825
4,5;5,493548
4,55;5,522316
4,6;5,549954
4,65;5,577261
4,7;5,604252
4,75;5,630829
4,8;5,656936
4,85;5,682493
4,9;5,707696
4,95;5,732497
5;5,757001
