Tensao [V];Corrente [A]
-5;-0,0001540769
-4,95;-0,0001414804
-4,9;-0,0001331933
-4,85;-0,000128554
-4,8;-0,0001247189
-4,75;-0,0001211754
-4,7;-0,0001174725
-4,65;-0,0001137685
-4,6;-0,0001114802
-4,55;-0,0001090189
-4,5;-0,0001066545
-4,45;-0,0001046358
-4,4;-0,0001026428
-4,35;-0,0001001093
-4,3;-9,748016E-05
-4,25;-9,55595E-05
-4,2;-9,325269E-05
-4,15;-9,128914E-05
-4,1;-8,927167E-05
-4,05;-8,702376E-05
-4;-8,488849E-05
-3,95;-8,287964E-05
-3,9;-8,109377E-05
-3,85;-7,873549E-05
-3,8;-7,709058E-05
-3,75;-7,59666E-05
-3,7;-7,399573E-05
-3,65;-7,154926E-05
-3,6;-6,923139E-05
-3,55;-6,767845E-05
-3,5;-6,608257E-05
-3,45;-6,377093E-05
-3,4;-6,258082E-05
-3,35;-6,150579E-05
-3,3;-5,963543E-05
-3,25;-5,711537E-05
-3,2;-5,485517E-05
-3,15;-5,374712E-05
-3,1;-5,222849E-05
-3,05;-4,983714E-05
-3;-4,815797E-05
-2,95;-4,675939E-05
-2,9;-4,530084E-05
-2,85;-4,326127E-05
-2,8;-4,209564E-05
-2,75;-4,043602E-05
-2,7;-3,85742E-05
-2,65;-3,647086E-05
-2,6;-3,460413E-05
-2,55;-3,377804E-05
-2,5;-3,260991E-05
-2,45;-3,101038E-05
-2,4;-2,887278E-05
-2,35;-2,682462E-05
-2,3;-2,524592E-05
-2,25;-2,313279E-05
-2,2;-2,156267E-05
-2,15;-2,025365E-05
-2,1;-1,878525E-05
-2,05;-1,727027E-05
-2;-1,488262E-05
-1,95;-1,309676E-05
-1,9;-1,289453E-05
-1,85;-1,125331E-05
-1,8;-9,203942E-06
-1,75;-7,356817E-06
-1,7;-6,558888E-06
-1,65;-4,776714E-06
-1,6;-2,889136E-06
-1,55;-1,402362E-06
-1,5;-4,340575E-07
-1,45;1,225567E-06
-1,4;3,240665E-06
-1,35;4,408781E-06
-1,3;5,759535E-06
-1,25;7,294146E-06
-1,2;8,843462E-06
-1,15;1,103752E-05
-1,1;1,202914E-05
-1,05;1,310287E-05
-1;1,466444E-05
-0,95;1,599314E-05
-0,9;1,776308E-05
-0,85;1,906848E-05
-0,8;2,097327E-05
-0,75;2,27383E-05
-0,7;2,440777E-05
-0,65;2,609557E-05
-0,6;2,686042E-05
-0,55;2,831292E-05
-0,5;2,96894E-05
-0,45;3,151084E-05
-0,4;3,318272E-05
-0,35;3,403339E-05
-0,3;3,595288E-05
-0,25;3,661969E-05
-0,2;3,860779E-05
-0,15;4,000883E-05
-0,1;4,198348E-05
-0,05;4,331823E-05
0;4,267599E-05
0,05;4,101758E-05
0,1;4,282184E-05
0,15;4,509314E-05
0,2;4,630905E-05
0,25;4,701385E-05
0,3;4,85754E-05
0,35;5,042991E-05
0,4;5,135779E-05
0,45;5,277721E-05
0,5;5,444538E-05
0,55;5,629868E-05
0,6;5,755755E-05
0,65;5,89904E-05
0,7;6,136348E-05
0,75;6,290783E-05
0,8;6,4038E-05
0,85;6,499403E-05
0,9;6,665365E-05
0,95;6,816252E-05
1;6,966407E-05
1,05;7,139475E-05
1,1;7,256286E-05
1,15;7,408404E-05
1,2;7,515652E-05
1,25;7,630499E-05
1,3;7,836057E-05
1,35;7,940119E-05
1,4;8,136605E-05
1,45;8,266045E-05
1,5;8,381142E-05
1,55;8,526389E-05
1,6;8,726798E-05
1,65;8,836009E-05
1,7;8,895823E-05
1,75;9,078454E-05
1,8;9,287196E-05
1,85;9,335002E-05
1,9;9,480498E-05
1,95;9,686046E-05
2;9,848463E-05
2,05;0,000100143
2,1;0,0001015035
2,15;0,0001026533
2,2;0,000104058
2,25;0,0001049821
2,3;0,0001060277
2,35;0,0001076701
2,4;0,0001097981
2,45;0,000110645
2,5;0,0001121624
2,55;0,0001133735
2,6;0,0001146494
2,65;0,0001161853
2,7;0,0001174822
2,75;0,00011923
2,8;0,0001205207
2,85;0,0001223458
2,9;0,0001239577
2,95;0,0001251294
3;0,0001261566
3,05;0,0001277892
3,1;0,0001300997
3,15;0,0001309172
3,2;0,0001322864
3,25;0,0001340527
3,3;0,0001349377
3,35;0,0001365568
3,4;0,0001378611
3,45;0,0001387914
3,5;0,0001404743
3,55;0,0001419107
3,6;0,0001434675
3,65;0,0001442973
3,7;0,0001456249
3,75;0,0001467794
3,8;0,0001486106
3,85;0,0001507717
3,9;0,0001516027
3,95;0,000152777
4;0,0001539194
4,05;0,0001555188
4,1;0,0001569567
4,15;0,0001582485
4,2;0,0001600725
4,25;0,0001612063
4,3;0,0001627445
4,35;0,0001644139
4,4;0,0001660932
4,45;0,0001677051
4,5;0,0001691808
4,55;0,0001705389
4,6;0,0001718799
4,65;0,000172972
4,7;0,0001743423
4,75;0,000175579
4,8;0,0001780747
4,85;0,0001788837
4,9;0,0001791129
4,95;0,0001801989
5;0,0001813952
