Tensao [V];Corrente [A]
-5;-9,11209E-05
-4,95;-8,126355E-05
-4,9;-7,487365E-05
-4,85;-7,078822E-05
-4,8;-6,802043E-05
-4,75;-6,516572E-05
-4,7;-6,307092E-05
-4,65;-6,100553E-05
-4,6;-5,845231E-05
-4,55;-5,676691E-05
-4,5;-5,508887E-05
-4,45;-5,342306E-05
-4,4;-5,252218E-05
-4,35;-5,109785E-05
-4,3;-4,927763E-05
-4,25;-4,838894E-05
-4,2;-4,64731E-05
-4,15;-4,50267E-05
-4,1;-4,357053E-05
-4,05;-4,225776E-05
-4;-4,197954E-05
-3,95;-4,07795E-05
-3,9;-3,951577E-05
-3,85;-3,810247E-05
-3,8;-3,719542E-05
-3,75;-3,62945E-05
-3,7;-3,541441E-05
-3,65;-3,440687E-05
-3,6;-3,361378E-05
-3,55;-3,229859E-05
-3,5;-2,986424E-05
-3,45;-2,861399E-05
-3,4;-2,77204E-05
-3,35;-2,663808E-05
-3,3;-2,630958E-05
-3,25;-2,49404E-05
-3,2;-2,37735E-05
-3,15;-2,250242E-05
-3,1;-2,081578E-05
-3,05;-2,042598E-05
-3;-1,97739E-05
-2,95;-1,884966E-05
-2,9;-1,780044E-05
-2,85;-1,626091E-05
-2,8;-1,519206E-05
-2,75;-1,474833E-05
-2,7;-1,385844E-05
-2,65;-1,282759E-05
-2,6;-1,223433E-05
-2,55;-1,139347E-05
-2,5;-1,042023E-05
-2,45;-9,128294E-06
-2,4;-8,152591E-06
-2,35;-6,899876E-06
-2,3;-5,710909E-06
-2,25;-4,599158E-06
-2,2;-3,706816E-06
-2,15;-3,525403E-06
-2,1;-2,445523E-06
-2,05;-1,12662E-06
-2;-2,477602E-07
-1,95;7,99044E-07
-1,9;1,828694E-06
-1,85;2,472225E-06
-1,8;3,17214E-06
-1,75;3,781347E-06
-1,7;4,657778E-06
-1,65;6,189994E-06
-1,6;7,159581E-06
-1,55;7,421896E-06
-1,5;8,145099E-06
-1,45;8,892816E-06
-1,4;9,005593E-06
-1,35;1,032085E-05
-1,3;1,126469E-05
-1,25;1,234705E-05
-1,2;1,303471E-05
-1,15;1,380817E-05
-1,1;1,459266E-05
-1,05;1,601334E-05
-1;1,709937E-05
-0,95;1,775638E-05
-0,9;1,833371E-05
-0,85;1,952763E-05
-0,8;2,060508E-05
-0,75;2,098875E-05
-0,7;2,195095E-05
-0,65;2,309463E-05
-0,6;2,353345E-05
-0,55;2,446505E-05
-0,5;2,519805E-05
-0,45;2,587589E-05
-0,4;2,72978E-05
-0,35;2,74363E-05
-0,3;2,817178E-05
-0,25;2,984127E-05
-0,2;2,997487E-05
-0,15;3,068949E-05
-0,1;3,173386E-05
-0,05;3,200597E-05
0;3,262377E-05
0,05;3,158555E-05
0,1;3,106949E-05
0,15;3,167256E-05
0,2;3,20023E-05
0,25;3,249627E-05
0,3;3,283095E-05
0,35;3,295718E-05
0,4;3,408366E-05
0,45;3,509738E-05
0,5;3,574948E-05
0,55;3,711745E-05
0,6;3,825251E-05
0,65;3,894998E-05
0,7;3,9759E-05
0,75;3,96303E-05
0,8;4,075552E-05
0,85;4,233432E-05
0,9;4,347677E-05
0,95;4,482144E-05
1;4,559858E-05
1,05;4,589522E-05
1,1;4,55238E-05
1,15;4,479813E-05
1,2;4,38457E-05
1,25;4,513522E-05
1,3;4,658164E-05
1,35;4,729381E-05
1,4;4,874021E-05
1,45;4,959461E-05
1,5;5,05274E-05
1,55;5,183785E-05
1,6;5,239177E-05
1,65;5,429049E-05
1,7;5,518535E-05
1,75;5,535326E-05
1,8;5,580074E-05
1,85;5,686715E-05
1,9;5,864446E-05
1,95;5,964101E-05
2;5,972803E-05
2,05;6,048687E-05
2,1;6,144409E-05
2,15;6,167943E-05
2,2;6,276431E-05
2,25;6,367747E-05
2,3;6,4402E-05
2,35;6,521461E-05
2,4;6,514717E-05
2,45;6,61915E-05
2,5;6,733028E-05
2,55;6,796767E-05
2,6;6,860755E-05
2,65;7,008214E-05
2,7;7,126624E-05
2,75;7,162904E-05
2,8;7,164007E-05
2,85;7,570962E-05
2,9;7,637155E-05
2,95;7,607745E-05
3;7,690604E-05
3,05;7,767336E-05
3,1;7,814655E-05
3,15;7,818819E-05
3,2;7,829722E-05
3,25;7,904984E-05
3,3;8,050124E-05
3,35;8,131023E-05
3,4;8,12808E-05
3,45;8,200277E-05
3,5;8,258502E-05
3,55;8,340754E-05
3,6;8,424844E-05
3,65;8,453886E-05
3,7;8,547917E-05
3,75;8,667789E-05
3,8;8,67441E-05
3,85;8,742806E-05
3,9;8,845153E-05
3,95;8,913068E-05
4;9,014443E-05
4,05;9,040307E-05
4,1;9,126474E-05
4,15;9,271117E-05
4,2;9,343679E-05
4,25;9,434268E-05
4,3;9,536741E-05
4,35;9,627565E-05
4,4;9,667038E-05
4,45;9,702589E-05
4,5;9,741687E-05
4,55;9,836813E-05
4,6;9,91158E-05
4,65;9,962946E-05
4,7;0,0001009139
4,75;0,0001015195
4,8;0,0001025234
4,85;0,0001025431
4,9;0,0001031326
4,95;0,0001041587
5;0,0001049185
