Tensao [V];Corrente [A]
-5;-0,0001949173
-4,95;-0,0001778849
-4,9;-0,0001694045
-4,85;-0,0001646059
-4,8;-0,0001611764
-4,75;-0,0001599814
-4,7;-0,0001580778
-4,65;-0,0001560518
-4,6;-0,0001540588
-4,55;-0,0001526235
-4,5;-0,0001521688
-4,45;-0,0001507604
-4,4;-0,0001493485
-4,35;-0,0001492161
-4,3;-0,0001486511
-4,25;-0,0001471164
-4,2;-0,0001457401
-4,15;-0,000145577
-4,1;-0,0001440866
-4,05;-0,0001424625
-4;-0,0001412283
-3,95;-0,0001411546
-3,9;-0,0001413287
-3,85;-0,0001402991
-3,8;-0,0001400626
-3,75;-0,0001386542
-3,7;-0,000138452
-3,65;-0,0001372398
-3,6;-0,0001354196
-3,55;-0,0001353069
-3,5;-0,0001343729
-3,45;-0,0001335468
-3,4;-0,0001328616
-3,35;-0,0001324658
-3,3;-0,000134031
-3,25;-0,0001328211
-3,2;-0,0001313736
-3,15;-0,0001307423
-3,1;-0,0001301724
-3,05;-0,0001293169
-3;-0,0001276084
-2,95;-0,000126808
-2,9;-0,000126759
-2,85;-0,0001260052
-2,8;-0,0001246041
-2,75;-0,0001238429
-2,7;-0,0001240232
-2,65;-0,0001226492
-2,6;-0,0001213267
-2,55;-0,0001205275
-2,5;-0,0001202505
-2,45;-0,0001194931
-2,4;-0,0001179474
-2,35;-0,0001166861
-2,3;-0,0001154654
-2,25;-0,0001144334
-2,2;-0,0001120138
-2,15;-0,0001095918
-2,1;-0,0001080144
-2,05;-0,0001057211
-2;-0,0001034474
-1,95;-0,0001009287
-1,9;-9,79784E-05
-1,85;-9,499876E-05
-1,8;-9,105199E-05
-1,75;-8,694718E-05
-1,7;-8,356184E-05
-1,65;-8,051344E-05
-1,6;-7,865169E-05
-1,55;-7,3945E-05
-1,5;-6,954112E-05
-1,45;-6,585794E-05
-1,4;-6,16734E-05
-1,35;-5,62975E-05
-1,3;-4,931838E-05
-1,25;-4,029236E-05
-1,2;-2,767632E-05
-1,15;-1,143465E-05
-1,1;9,90611E-06
-1,05;3,782927E-05
-1;7,550791E-05
-0,95;0,0001268447
-0,9;0,000198178
-0,85;0,0003034613
-0,8;0,0004693624
-0,75;0,0007359847
-0,7;0,001170642
-0,65;0,001880455
-0,6;0,003476464
-0,55;0,004742231
-0,5;0,007168298
-0,45;0,01069001
-0,4;0,01556533
-0,35;0,02529394
-0,3;0,03390726
-0,25;0,04387123
-0,2;0,0549068
-0,15;0,06691793
-0,1;0,0799266
-0,05;0,0937409
0;0,1082141
0,05;0,1229749
0,1;0,138117
0,15;0,153455
0,2;0,1689088
0,25;0,1844296
0,3;0,2000192
0,35;0,2156771
0,4;0,2315087
0,45;0,2473968
0,5;0,2632984
0,55;0,2792293
0,6;0,2952435
0,65;0,3113817
0,7;0,327667
0,75;0,3440917
0,8;0,3605775
0,85;0,3769901
0,9;0,3932573
0,95;0,4093246
1;0,4250985
1,05;0,4405267
1,1;0,4555759
1,15;0,4702287
1,2;0,4844192
1,25;0,4981681
1,3;0,5114837
1,35;0,5243747
1,4;0,5368877
1,45;0,5489883
1,5;0,5606815
1,55;0,5720236
1,6;0,5829912
1,65;0,593598
1,7;0,6038657
1,75;0,6137453
1,8;0,6233444
1,85;0,6326222
1,9;0,6416322
1,95;0,6503105
2;0,6587601
2,05;0,6669487
2,1;0,6748921
2,15;0,6826137
2,2;0,6901239
2,25;0,6974809
2,3;0,7046568
2,35;0,7116565
2,4;0,718513
2,45;0,7251654
2,5;0,7316438
2,55;0,7379656
2,6;0,7441159
2,65;0,7500882
2,7;0,7558995
2,75;0,761488
2,8;0,7668665
2,85;0,7720448
2,9;0,7770712
2,95;0,7818678
3;0,786498
3,05;0,7910004
3,1;0,7953441
3,15;0,7995415
3,2;0,8035909
3,25;0,8075452
3,3;0,8113936
3,35;0,8151432
3,4;0,8188301
3,45;0,8224922
3,5;0,8260693
3,55;0,8296148
3,6;0,8331483
3,65;0,8366162
3,7;0,8401274
3,75;0,8436017
3,8;0,8470367
3,85;0,8505036
3,9;0,8539534
3,95;0,8573973
4;0,8608287
4,05;0,8642501
4,1;0,8676922
4,15;0,8710967
4,2;0,8744462
4,25;0,8778364
4,3;0,881212
4,35;0,8845665
4,4;0,8878908
4,45;0,8911716
4,5;0,8944535
4,55;0,8976619
4,6;0,9008286
4,65;0,9039943
4,7;0,9070942
4,75;0,910189
4,8;0,9132214
4,85;0,9161751
4,9;0,9190858
4,95;0,9219746
5;0,9247922
