Tensao [V];Corrente [A]
-5;-0,0002243312
-4,95;-0,0002091439
-4,9;-0,0002011903
-4,85;-0,0001973661
-4,8;-0,0001946474
-4,75;-0,0001915109
-4,7;-0,0001882543
-4,65;-0,0001851054
-4,6;-0,0001837561
-4,55;-0,0001808731
-4,5;-0,000178662
-4,45;-0,000176875
-4,4;-0,0001747154
-4,35;-0,0001732691
-4,3;-0,0001704781
-4,25;-0,0001684361
-4,2;-0,0001669051
-4,15;-0,0001648692
-4,1;-0,0001626595
-4,05;-0,0001597766
-4;-0,0001585275
-3,95;-0,0001567761
-3,9;-0,0001547635
-3,85;-0,0001520069
-3,8;-0,0001502688
-3,75;-0,0001492981
-3,7;-0,000147283
-3,65;-0,0001461628
-3,6;-0,0001428632
-3,55;-0,000141162
-3,5;-0,0001406152
-3,45;-0,0001384188
-3,4;-0,0001361379
-3,35;-0,0001348558
-3,3;-0,000133847
-3,25;-0,0001312387
-3,2;-0,0001280667
-3,15;-0,0001281842
-3,1;-0,0001243687
-3,05;-0,0001229433
-3;-0,0001215826
-2,95;-0,0001211906
-2,9;-0,0001207505
-2,85;-0,0001163478
-2,8;-0,0001139969
-2,75;-0,0001133988
-2,7;-0,0001118557
-2,65;-0,0001081442
-2,6;-0,0001071699
-2,55;-0,0001074713
-2,5;-0,0001053056
-2,45;-0,0001026728
-2,4;-9,959746E-05
-2,35;-9,86978E-05
-2,3;-9,693528E-05
-2,25;-9,479516E-05
-2,2;-9,31283E-05
-2,15;-9,13045E-05
-2,1;-9,037902E-05
-2,05;-8,733442E-05
-2;-8,530589E-05
-1,95;-8,401034E-05
-1,9;-8,264615E-05
-1,85;-8,024503E-05
-1,8;-7,834024E-05
-1,75;-7,695646E-05
-1,7;-7,577119E-05
-1,65;-7,438376E-05
-1,6;-7,210027E-05
-1,55;-7,008771E-05
-1,5;-6,883136E-05
-1,45;-6,793416E-05
-1,4;-6,4854E-05
-1,35;-6,322749E-05
-1,3;-6,170395E-05
-1,25;-6,068298E-05
-1,2;-5,816419E-05
-1,15;-5,577284E-05
-1,1;-5,490503E-05
-1,05;-5,220608E-05
-1;-5,007213E-05
-0,95;-4,858415E-05
-0,9;-4,661691E-05
-0,85;-4,506885E-05
-0,8;-4,147513E-05
-0,75;-3,939878E-05
-0,7;-3,618628E-05
-0,65;-3,21795E-05
-0,6;-2,65033E-05
-0,55;-1,802029E-05
-0,5;-5,505968E-06
-0,45;1,7269E-05
-0,4;5,968622E-05
-0,35;0,000139293
-0,3;0,0002881789
-0,25;0,0005579262
-0,2;0,001037926
-0,15;0,001885895
-0,1;0,004019946
-0,05;0,005632408
0;0,009112777
0,05;0,0117276
0,1;0,01493969
0,15;0,01816224
0,2;0,02289698
0,25;0,02592654
0,3;0,02892147
0,35;0,03185787
0,4;0,03471414
0,45;0,0374505
0,5;0,04008418
0,55;0,04262686
0,6;0,04506682
0,65;0,04738625
0,7;0,04960009
0,75;0,05173574
0,8;0,05376714
0,85;0,05570927
0,9;0,05754715
0,95;0,05930847
1;0,06096231
1,05;0,06258381
1,1;0,06410762
1,15;0,06556395
1,2;0,06694581
1,25;0,06825611
1,3;0,06948416
1,35;0,07063622
1,4;0,07173495
1,45;0,07277175
1,5;0,07374195
1,55;0,0746467
1,6;0,07551502
1,65;0,07633232
1,7;0,07709394
1,75;0,07781463
1,8;0,07850474
1,85;0,07917379
1,9;0,07981145
1,95;0,08043079
2;0,08102923
2,05;0,08161508
2,1;0,08217876
2,15;0,08271157
2,2;0,0832434
2,25;0,08376532
2,3;0,08426787
2,35;0,08474873
2,4;0,08522478
2,45;0,08569715
2,5;0,08614251
2,55;0,08657689
2,6;0,08700285
2,65;0,08742497
2,7;0,08783086
2,75;0,08820882
2,8;0,08858095
2,85;0,08895468
2,9;0,08930152
2,95;0,08962157
3;0,08992175
3,05;0,09023385
3,1;0,09051499
3,15;0,09078261
3,2;0,09104316
3,25;0,09129256
3,3;0,09153582
3,35;0,09175967
3,4;0,09197421
3,45;0,09220087
3,5;0,09240264
3,55;0,09261043
3,6;0,09279837
3,65;0,09299927
3,7;0,09320516
3,75;0,09340152
3,8;0,09359486
3,85;0,09380094
3,9;0,0940116
3,95;0,09422319
4;0,0944199
4,05;0,09462404
4,1;0,0948358
4,15;0,09505314
4,2;0,09525673
4,25;0,09547259
4,3;0,09568471
4,35;0,09590072
4,4;0,09610451
4,45;0,09631251
4,5;0,09652153
4,55;0,09673457
4,6;0,09693479
4,65;0,09713921
4,7;0,09733358
4,75;0,0975494
4,8;0,09773275
4,85;0,09791894
4,9;0,09811403
4,95;0,09830215
5;0,09848363
