Tensao [V];Corrente [A]
-5;-0,0001047525
-4,95;-8,923422E-05
-4,9;-8,122567E-05
-4,85;-7,742973E-05
-4,8;-7,525418E-05
-4,75;-7,270598E-05
-4,7;-7,050712E-05
-4,65;-6,853134E-05
-4,6;-6,740004E-05
-4,55;-6,639866E-05
-4,5;-6,470108E-05
-4,45;-6,354035E-05
-4,4;-6,29937E-05
-4,35;-6,372174E-05
-4,3;-6,280131E-05
-4,25;-6,279152E-05
-4,2;-6,289938E-05
-4,15;-6,228164E-05
-4,1;-6,131702E-05
-4,05;-6,11589E-05
-4;-5,955696E-05
-3,95;-5,746594E-05
-3,9;-5,62819E-05
-3,85;-5,49472E-05
-3,8;-5,518374E-05
-3,75;-5,54424E-05
-3,7;-5,43883E-05
-3,65;-5,360262E-05
-3,6;-5,363569E-05
-3,55;-5,254237E-05
-3,5;-5,118192E-05
-3,45;-4,743378E-05
-3,4;-4,63846E-05
-3,35;-4,684914E-05
-3,3;-4,969149E-05
-3,25;-5,11096E-05
-3,2;-4,794364E-05
-3,15;-4,832974E-05
-3,1;-4,863984E-05
-3,05;-4,694842E-05
-3;-4,558059E-05
-2,95;-4,448112E-05
-2,9;-4,121595E-05
-2,85;-4,00209E-05
-2,8;-3,88161E-05
-2,75;-3,866652E-05
-2,7;-3,870819E-05
-2,65;-3,919847E-05
-2,6;-3,835275E-05
-2,55;-3,665887E-05
-2,5;-3,494416E-05
-2,45;-3,374544E-05
-2,4;-3,284456E-05
-2,35;-3,128797E-05
-2,3;-2,945804E-05
-2,25;-2,922147E-05
-2,2;-2,728002E-05
-2,15;-2,404423E-05
-2,1;-1,968327E-05
-2,05;-1,482837E-05
-2;-1,108884E-05
-1,95;-7,797902E-06
-1,9;-2,251725E-06
-1,85;4,452813E-06
-1,8;1,134862E-05
-1,75;2,065292E-05
-1,7;2,649951E-05
-1,65;3,522406E-05
-1,6;4,706556E-05
-1,55;6,000656E-05
-1,5;7,489018E-05
-1,45;9,412765E-05
-1,4;0,000116857
-1,35;0,0001473427
-1,3;0,0001893646
-1,25;0,0002437871
-1,2;0,000313537
-1,15;0,0004059547
-1,1;0,0005210484
-1,05;0,0006664805
-1;0,0008506823
-0,95;0,001070811
-0,9;0,001334335
-0,85;0,001646122
-0,8;0,002008492
-0,75;0,002569158
-0,7;0,002940967
-0,65;0,003508353
-0,6;0,004188548
-0,55;0,004977291
-0,5;0,005867276
-0,45;0,006858137
-0,4;0,007938881
-0,35;0,009088334
-0,3;0,01029069
-0,25;0,01154159
-0,2;0,01284641
-0,15;0,0142117
-0,1;0,01565022
-0,05;0,01716535
0;0,0191174
0,05;0,02045651
0,1;0,02297904
0,15;0,0247669
0,2;0,02660393
0,25;0,02847394
0,3;0,03037038
0,35;0,03228804
0,4;0,03423166
0,45;0,0362051
0,5;0,03818957
0,55;0,04019362
0,6;0,04221095
0,65;0,04425952
0,7;0,04632415
0,75;0,04839438
0,8;0,05047175
0,85;0,05254868
0,9;0,05461303
0,95;0,05665309
1;0,05866151
1,05;0,06063406
1,1;0,06257621
1,15;0,06447122
1,2;0,06632715
1,25;0,06814214
1,3;0,06991499
1,35;0,07164432
1,4;0,07332872
1,45;0,07499179
1,5;0,07661203
1,55;0,0781922
1,6;0,07973794
1,65;0,08127326
1,7;0,08277576
1,75;0,0842338
1,8;0,08567724
1,85;0,08710472
1,9;0,08849576
1,95;0,08986355
2;0,09121515
2,05;0,09255521
2,1;0,09387124
2,15;0,09516285
2,2;0,09643982
2,25;0,09770969
2,3;0,09896532
2,35;0,1001925
2,4;0,1014025
2,45;0,1026014
2,5;0,1037908
2,55;0,1049431
2,6;0,1060784
2,65;0,1071976
2,7;0,1083125
2,75;0,1093924
2,8;0,1104543
2,85;0,1115006
2,9;0,1125272
2,95;0,113541
3;0,1145301
3,05;0,1155058
3,1;0,1164669
3,15;0,1174146
3,2;0,1183408
3,25;0,1192576
3,3;0,1201659
3,35;0,1210558
3,4;0,1219365
3,45;0,1227994
3,5;0,1236712
3,55;0,124528
3,6;0,1253761
3,65;0,1262099
3,7;0,127055
3,75;0,1278926
3,8;0,1287154
3,85;0,1295342
3,9;0,1303567
3,95;0,131177
4;0,1319762
4,05;0,1327698
4,1;0,1335668
4,15;0,1343534
4,2;0,1351126
4,25;0,1358726
4,3;0,1366315
4,35;0,1373791
4,4;0,1381053
4,45;0,1388284
4,5;0,1395389
4,55;0,1402493
4,6;0,1409269
4,65;0,1416118
4,7;0,1422872
4,75;0,1429572
4,8;0,1435954
4,85;0,1442402
4,9;0,1448737
4,95;0,1454913
5;0,1460909
