Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.00012416485,1.2307700157489481e-06,-8.9426832e-05,-3.4738018e-05,2.2263154299956408e-06
-4.95,0.025,-0.00011197409,1.558439672984916e-06,-7.9908938e-05,-3.2065152e-05,2.1946854136990396e-06
-4.9,0.025,-0.00010651297,1.555348506891266e-06,-7.386651399999999e-05,-3.2646456000000006e-05,2.0384718778337087e-06
-4.85,0.025,-0.00010331721,1.592208107175552e-06,-6.9607798e-05,-3.3709412000000006e-05,1.995464674399312e-06
-4.8,0.025,-0.00010090645200000001,1.2671516514065012e-06,-6.6695672e-05,-3.421078000000001e-05,1.569410101051419e-06
-4.75,0.025,-9.913985600000001e-05,1.0940869126069376e-06,-6.442439e-05,-3.4715466000000004e-05,1.4793138774911084e-06
-4.7,0.025,-9.7739538e-05,1.614101283582361e-06,-6.2209244e-05,-3.5530294e-05,1.9863137222987273e-06
-4.65,0.025,-9.631185499999999e-05,1.2698016296453542e-06,-6.0062976e-05,-3.6248878999999994e-05,1.7750291238962818e-06
-4.6,0.025,-9.4729095e-05,1.138538896922522e-06,-5.8029204e-05,-3.669989099999999e-05,1.6988194233012381e-06
-4.55,0.025,-9.352464700000001e-05,1.3208925037097718e-06,-5.6552449999999994e-05,-3.697219700000002e-05,1.7116505589070065e-06
-4.5,0.025,-9.2434996e-05,1.0253765273866723e-06,-5.477290800000001e-05,-3.766208799999999e-05,1.3656889300040293e-06
-4.45,0.025,-9.141624200000002e-05,9.697945551369801e-07,-5.298627e-05,-3.842997200000001e-05,1.3179869346937144e-06
-4.4,0.025,-9.018085e-05,1.5023028443840635e-06,-5.176275000000001e-05,-3.841809999999999e-05,1.7397814010083132e-06
-4.35,0.025,-8.867854699999999e-05,9.70858838292159e-07,-5.0586266e-05,-3.809228099999999e-05,1.196110005881566e-06
-4.3,0.025,-8.8059196e-05,1.5281229365553885e-06,-4.9071492000000004e-05,-3.898770399999999e-05,1.6599128026787015e-06
-4.25,0.025,-8.763474300000001e-05,1.5820653923207126e-06,-4.762464e-05,-4.001010300000001e-05,1.690689913860283e-06
-4.2,0.025,-8.5987918e-05,8.261928874165992e-07,-4.6141238e-05,-3.9846680000000005e-05,9.490230254781908e-07
-4.15,0.025,-8.506008300000001e-05,8.324912544358791e-07,-4.4983384e-05,-4.0076699000000006e-05,9.553746739066426e-07
-4.1,0.025,-8.449577700000001e-05,8.407383901474811e-07,-4.3714994e-05,-4.078078300000001e-05,1.0316681389854875e-06
-4.05,0.025,-8.3509718e-05,6.436821981002037e-07,-4.2077651999999994e-05,-4.1432066e-05,9.307453600857284e-07
-4.0,0.025,-8.2655917e-05,7.068092672952456e-07,-4.095267200000001e-05,-4.170324499999999e-05,1.125288993483205e-06
-3.95,0.025,-8.1506242e-05,1.2864208892703468e-06,-3.9411906000000004e-05,-4.209433599999999e-05,2.0687991996279175e-06
-3.9,0.025,-8.047175299999998e-05,1.6770628089944092e-06,-3.8099146e-05,-4.237260699999998e-05,2.0576945955467303e-06
