Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.0037778665999999997,1.1816985329036543e-05,-8.9426832e-05,-0.003688439768,1.1961723447264398e-05
-4.95,0.025,-0.0038506886999999995,3.2733686030006704e-06,-7.9908938e-05,-0.0037707797619999997,3.619786162452218e-06
-4.9,0.025,-0.0038538852000000005,2.66888798316197e-06,-7.386651399999999e-05,-0.0037800186860000007,2.9764444704204317e-06
-4.85,0.025,-0.0038505237000000005,4.222805545816473e-06,-6.9607798e-05,-0.0037809159020000004,4.390767505573298e-06
-4.8,0.025,-0.0038487862,2.7797592541640705e-06,-6.6695672e-05,-0.0037820905279999997,2.929920863902435e-06
-4.75,0.025,-0.0038488411,2.4550144806090063e-06,-6.442439e-05,-0.00378441671,2.649233752578263e-06
-4.7,0.025,-0.0038475337,4.852569103062882e-06,-6.2209244e-05,-0.003785324456,4.9887419405828665e-06
-4.65,0.025,-0.0038437489,1.7788937542441179e-06,-6.0062976e-05,-0.003783685924,2.1685929080670575e-06
-4.6,0.025,-0.0038411003999999998,1.8414221677822444e-06,-5.8029204e-05,-0.003783071196,2.23171508333386e-06
-4.55,0.025,-0.0038395411000000006,1.8786947862812012e-06,-5.6552449999999994e-05,-0.0037829886500000006,2.1712864227112383e-06
-4.5,0.025,-0.0038377604999999997,1.6526990214662607e-06,-5.477290800000001e-05,-0.0037829875919999996,1.8828497779099466e-06
-4.45,0.025,-0.0038355554,1.530937563136467e-06,-5.298627e-05,-0.0037825691300000003,1.772105499983628e-06
-4.4,0.025,-0.0038347350999999993,1.1662639733591155e-06,-5.176275000000001e-05,-0.0037829723499999994,1.4594852320614257e-06
-4.35,0.025,-0.0038336823000000007,1.9207819038668357e-06,-5.0586266e-05,-0.003783096034000001,2.043897107122153e-06
-4.3,0.025,-0.003832010599999999,1.1406669783751886e-06,-4.9071492000000004e-05,-0.003782939107999999,1.3119725449968763e-06
-4.25,0.025,-0.0038303197000000002,2.0588965788068213e-06,-4.762464e-05,-0.00378269506,2.1434916844887535e-06
-4.2,0.025,-0.0038281679,1.3966908072695105e-06,-4.6141238e-05,-0.003782026662,1.4726830028153235e-06
-4.15,0.025,-0.003827130699999999,1.3478753692797919e-06,-4.4983384e-05,-0.003782147315999999,1.427048383882318e-06
-4.1,0.025,-0.003825775099999999,1.892202094562516e-06,-4.3714994e-05,-0.003782060105999999,1.9844210427721166e-06
-4.05,0.025,-0.0038238118,1.4786507212846228e-06,-4.2077651999999994e-05,-0.003781734148,1.6243054234735341e-06
-4.0,0.025,-0.0038232466,1.6106524005991e-06,-4.095267200000001e-05,-0.003782293928,1.8332749750311999e-06
-3.95,0.025,-0.0038222871000000006,1.2262035765365815e-06,-3.9411906000000004e-05,-0.0037828751940000007,2.031902220861306e-06
-3.9,0.025,-0.0038203177000000004,1.225737605598287e-06,-3.8099146e-05,-0.0037822185540000003,1.7099707778227751e-06
-3.85,0.025,-0.0038190397,1.527626194096238e-06,-3.7084714000000006e-05,-0.003781954986,1.7744261209667081e-06
-3.8,0.025,-0.0038164643,1.2337429094696476e-06,-3.5840584e-05,-0.003780623716,1.6354808418922657e-06
-3.75,0.025,-0.0038156486000000002,1.2411223594436754e-06,-3.5070086e-05,-0.0037805785140000003,1.657037660371977e-06
-3.7,0.025,-0.003815026099999999,1.419002188550558e-06,-3.414957e-05,-0.003780876529999999,1.8672738121419881e-06
-3.65,0.025,-0.0038127741999999997,1.7857587120822402e-06,-3.2837532e-05,-0.0037799366679999997,2.2054899076390315e-06
-3.6,0.025,-0.0038107211,2.669834345672608e-06,-3.1950826000000004e-05,-0.003778770274,3.1616547062753517e-06
-3.55,0.025,-0.00380976,1.5041365186268148e-06,-3.066355e-05,-0.00377909645,1.9173535118925763e-06
-3.5,0.025,-0.0038087874000000002,9.641994030743113e-07,-2.8349099999999996e-05,-0.0037804383,2.0755372065657747e-06
-3.45,0.025,-0.0038072826999999997,1.9873409957361273e-06,-2.7236868e-05,-0.003780045832,2.4949825831763763e-06
-3.4,0.025,-0.003805473,1.5523834720984868e-06,-2.6295250000000002e-05,-0.0037791777500000004,1.8361350021701984e-06
-3.35,0.025,-0.0038037823,8.648168784969955e-07,-2.6019459999999998e-05,-0.00377776284,1.7542648213947877e-06
-3.3,0.025,-0.0038037795,1.8705374301996043e-06,-2.5398258e-05,-0.003778381242,2.137232819336195e-06
-3.25,0.025,-0.0038019048,1.2597117659739922e-06,-2.4392902e-05,-0.0037775118979999998,1.5192052482970542e-06
-3.2,0.025,-0.0037989269999999997,1.477867232046095e-06,-2.3541990000000002e-05,-0.0037753850099999996,2.0717691789641014e-06
-3.15,0.025,-0.0037975903999999997,2.024622774192135e-06,-2.2252028000000003e-05,-0.003775338372,2.435947304817462e-06
-3.1,0.025,-0.0037962429,1.340325702539833e-06,-2.1345468e-05,-0.0037748974319999997,1.5944793516564888e-06
-3.05,0.025,-0.0037947320000000007,1.3807289540110074e-06,-2.0247935999999998e-05,-0.003774484064000001,1.4810745921540652e-06
-3.0,0.025,-0.003793324,1.1762567746882701e-06,-1.9073924e-05,-0.003774250076,1.3410409418172334e-06
-2.95,0.025,-0.0037912781,8.068675300884532e-07,-1.8209516e-05,-0.003773068584,1.1403442777253896e-06
-2.9,0.025,-0.0037901204999999994,1.0868698429689966e-06,-1.7116656e-05,-0.0037730038439999993,1.31700792259783e-06
-2.85,0.025,-0.003788469,1.9864619581334067e-06,-1.6047326e-05,-0.003772421674,2.088644554715141e-06
-2.8,0.025,-0.0037855301,1.2227861128495245e-06,-1.5102272e-05,-0.003770427828,1.5553571379421675e-06
-2.75,0.025,-0.0037835639000000005,1.6600413950661962e-06,-1.4137372e-05,-0.0037694265280000007,1.7824170460370163e-06
-2.7,0.025,-0.0037821829,1.9215358122548227e-06,-1.3569606e-05,-0.003768613294,2.0209620335889048e-06
-2.65,0.025,-0.003779334599999999,1.6222972874564717e-06,-1.2611078e-05,-0.003766723521999999,1.775720440908035e-06
-2.6,0.025,-0.0037760622000000002,2.3834648821504305e-06,-1.1344885999999999e-05,-0.0037647173140000004,2.448405699240705e-06
-2.55,0.025,-0.0037733974999999997,1.6679374655211055e-06,-1.05417804e-05,-0.0037628557195999997,1.7986039843900515e-06
-2.5,0.025,-0.0037703212,1.2772194451664195e-06,-9.6092386e-06,-0.0037607119614000003,1.4295015100632164e-06
-2.45,0.025,-0.003767933700000001,1.9474807116431564e-06,-8.510482e-06,-0.003759423218000001,2.0211740021182333e-06
-2.4,0.025,-0.0037632952000000003,2.1726459444650295e-06,-7.7725826e-06,-0.0037555226174000003,2.2362214013986047e-06
-2.35,0.025,-0.0037576732,1.9561770994581326e-06,-6.599795399999999e-06,-0.0037510734046,2.0712410684317345e-06
-2.3,0.025,-0.0037510630000000002,3.087806341077713e-06,-5.3387528e-06,-0.0037457242472000002,3.1175687433611522e-06
-2.25,0.025,-0.0037436327999999996,2.6354788221919547e-06,-4.469702399999999e-06,-0.0037391630975999995,2.689734300387883e-06
-2.2,0.025,-0.003734908,1.6216869132001545e-06,-3.5832458000000004e-06,-0.0037313247542,1.6416519986794844e-06
-2.15,0.025,-0.0037247242000000005,2.4053998882145245e-06,-2.7879864e-06,-0.0037219362136000004,2.4459148433764506e-06
-2.1,0.025,-0.0037146759,1.8624390489653926e-06,-2.0049840000000003e-06,-0.003712670916,1.934802184504818e-06
-2.05,0.025,-0.0037022709,3.1958063649448735e-06,-1.1391184440000002e-06,-0.003701131781556,3.275813000897481e-06
-2.0,0.025,-0.0036865619999999996,2.4970803395610608e-06,-1.4129259999999987e-08,-0.0036865478707399997,2.5602119330627923e-06
-1.95,0.025,-0.0036708895,2.562747624891882e-06,7.91440608e-07,-0.003671680940608,2.625057175642153e-06
-1.9,0.025,-0.0036547394999999995,2.1722298962638022e-06,1.4808180999999999e-06,-0.0036562203180999994,2.5628194932857734e-06
-1.85,0.025,-0.0036355627,2.4012857690088436e-06,2.9218276e-06,-0.0036384845276,2.540180577752435e-06
-1.8,0.025,-0.0036115104999999994,2.849152632314062e-06,3.8901818e-06,-0.0036154006817999992,3.113737448662435e-06
-1.75,0.025,-0.0035847484000000006,3.6464446367508562e-06,4.3682306e-06,-0.0035891166306000004,3.6793077800478154e-06
-1.7,0.025,-0.0035495423000000007,1.454363094660685e-06,4.4991448000000006e-06,-0.0035540414448000006,1.5563806973777994e-06
-1.65,0.025,-0.0035037962999999997,2.3669680582738563e-06,5.136054000000001e-06,-0.0035089323539999996,2.450826554209663e-06
-1.6,0.025,-0.0034449777,2.0640173906459666e-06,6.796484399999999e-06,-0.0034517741844,2.2162534997751917e-06
-1.55,0.025,-0.0033666699,1.373949170174125e-06,7.3544568e-06,-0.0033740243568,1.4226954344355879e-06
-1.5,0.025,-0.0032655682999999996,2.5756007734982e-06,7.9053086e-06,-0.0032734736085999997,2.6908495452378652e-06
-1.45,0.025,-0.0031350500000000003,1.4955222796363834e-06,9.332838999999998e-06,-0.0031443828390000004,1.7766162018156329e-06
-1.4,0.025,-0.0029648683,9.096576950821773e-07,1.0878773399999999e-05,-0.0029757470734,2.446543406232356e-06
-1.35,0.025,-0.0027508227,1.4935615934180663e-06,1.135977e-05,-0.0027621824699999996,1.8589663184639775e-06
-1.3,0.025,-0.0024867343000000005,1.19922679256258e-06,1.1809133999999998e-05,-0.0024985434340000006,1.2676098703583582e-06
-1.25,0.025,-0.0021581032999999994,2.7781871807188616e-06,1.2151371999999999e-05,-0.0021702546719999994,2.984374471891994e-06
-1.2,0.025,-0.0015515000000000004,1.8877397419488959e-06,1.3424699999999999e-05,-0.0015649247000000003,2.1329114207189394e-06
-1.15,0.025,-0.0012117846999999998,1.6684940015874361e-06,1.4068962000000001e-05,-0.0012258536619999998,2.27990249559126e-06
-1.1,0.025,-0.0005502055099999999,1.9307693074983946e-06,1.5058888000000001e-05,-0.0005652643979999999,2.068748217195082e-06
-1.05,0.025,0.00037908544,3.041208828812057e-06,1.6683766e-05,0.000362401674,3.282281651104061e-06
-1.0,0.025,0.0017043847999999996,3.1252882462618114e-06,1.7925718e-05,0.0016864590819999996,3.866191889513793e-06
-0.95,0.025,0.0045256955,8.589251982047631e-06,1.8516536e-05,0.004507178964,8.668861982015814e-06
