Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.00019566999,1.2152563364254524e-06,-8.9426832e-05,-0.00010624315799999998,2.2177767077395822e-06
-4.95,0.025,-0.00017801549,1.0433677304766554e-06,-7.9908938e-05,-9.8106552e-05,1.8645444676300961e-06
-4.9,0.025,-0.00016956178,1.058016473091665e-06,-7.386651399999999e-05,-9.569526600000002e-05,1.6898690707162262e-06
-4.85,0.025,-0.00016490876999999997,1.0801881132983763e-06,-6.9607798e-05,-9.530097199999998e-05,1.6166505405718032e-06
-4.8,0.025,-0.00016145021999999998,6.127264747739396e-07,-6.6695672e-05,-9.475454799999999e-05,1.1103190940035666e-06
-4.75,0.025,-0.00015913163000000002,7.712665183536363e-07,-6.442439e-05,-9.470724000000002e-05,1.2594425029088612e-06
-4.7,0.025,-0.00015684393999999997,1.5255254659005559e-06,-6.2209244e-05,-9.463469599999997e-05,1.9150319049146694e-06
-4.65,0.025,-0.00015515347999999998,1.878782103621624e-06,-6.0062976e-05,-9.509050399999998e-05,2.2512561837602798e-06
-4.6,0.025,-0.00015383167,1.5177465086619552e-06,-5.8029204e-05,-9.580246600000001e-05,1.973137369200521e-06
-4.55,0.025,-0.00015252521,1.8172522710277597e-06,-5.6552449999999994e-05,-9.597276000000002e-05,2.118347574409249e-06
-4.5,0.025,-0.00015148697999999998,1.073127561849003e-06,-5.477290800000001e-05,-9.671407199999998e-05,1.401895857266147e-06
-4.45,0.025,-0.00015001622000000004,9.73976552079153e-07,-5.298627e-05,-9.702995000000003e-05,1.3210671462306507e-06
-4.4,0.025,-0.00014901288,7.167863493863936e-07,-5.176275000000001e-05,-9.725012999999999e-05,1.1330084543888783e-06
-4.35,0.025,-0.00014828297,9.926722241281653e-07,-5.0586266e-05,-9.769670399999999e-05,1.213882369439295e-06
-4.3,0.025,-0.00014720587,9.2700900876601e-07,-4.9071492000000004e-05,-9.813437799999999e-05,1.1311483128234505e-06
-4.25,0.025,-0.00014626072000000002,7.132482142361899e-07,-4.762464e-05,-9.863608000000001e-05,9.296367539857247e-07
-4.2,0.025,-0.00014559382,1.147741209506744e-06,-4.6141238e-05,-9.945258199999999e-05,1.2390964045101595e-06
-4.15,0.025,-0.00014499785,1.8415370507932868e-06,-4.4983384e-05,-0.000100014466,1.9002520328299708e-06
-4.1,0.025,-0.00014401606,1.5419858474635128e-06,-4.3714994e-05,-0.000100301066,1.6538495887195331e-06
-4.05,0.025,-0.00014247088000000002,8.247752000797971e-07,-4.2077651999999994e-05,-0.00010039322800000002,1.0640555830578926e-06
-4.0,0.025,-0.00014191278,4.628392636758431e-07,-4.095267200000001e-05,-0.000100960108,9.904121175147238e-07
-3.95,0.025,-0.00014220367,1.30574436246576e-06,-3.9411906000000004e-05,-0.00010279176400000001,2.0808699536831024e-06
-3.9,0.025,-0.00014116058,1.0551201361825003e-06,-3.8099146e-05,-0.000103061434,1.592119934241068e-06
-3.85,0.025,-0.00013996164000000001,1.0360483678112874e-06,-3.7084714000000006e-05,-0.00010287692600000001,1.3741697458190654e-06
-3.8,0.025,-0.0001390969,1.2153833752725458e-06,-3.5840584e-05,-0.00010325631599999999,1.621675912881143e-06
-3.75,0.025,-0.00013830328,8.278858292193557e-07,-3.5070086e-05,-0.000103233194,1.3750578326027672e-06
-3.7,0.025,-0.0001375052,7.89976466597442e-07,-3.414957e-05,-0.00010335562999999999,1.4481737106361856e-06
-3.65,0.025,-0.00013625316,1.0134359511637202e-06,-3.2837532e-05,-0.00010341562800000001,1.6438686024226867e-06
-3.6,0.025,-0.00013604686999999998,9.97441497086974e-07,-3.1950826000000004e-05,-0.00010409604399999999,1.965434961653807e-06
-3.55,0.025,-0.00013510969999999998,8.900856388260824e-07,-3.066355e-05,-0.00010444614999999998,1.4852845745325833e-06
-3.5,0.025,-0.00013425466,8.618508664496407e-07,-2.8349099999999996e-05,-0.00010590556000000001,2.030015054857968e-06
-3.45,0.025,-0.00013393305999999998,8.511351403338415e-07,-2.7236868e-05,-0.00010669619199999999,1.7320060288957165e-06
-3.4,0.025,-0.00013329399,8.464217893251839e-07,-2.6295250000000002e-05,-0.00010699873999999999,1.2953482725485244e-06
-3.35,0.025,-0.00013273666,8.808269084596959e-07,-2.6019459999999998e-05,-0.00010671719999999999,1.7622124936898685e-06
-3.3,0.025,-0.00013217024,1.043829025165415e-06,-2.5398258e-05,-0.00010677198199999999,1.4691606038986284e-06
-3.25,0.025,-0.00013133796,7.437472796588891e-07,-2.4392902e-05,-0.00010694505799999999,1.1288360683110714e-06
-3.2,0.025,-0.00013068236000000005,7.192427950436625e-07,-2.3541990000000002e-05,-0.00010714037000000005,1.620322860905264e-06
-3.15,0.025,-0.00012981934,7.957758606821687e-07,-2.2252028000000003e-05,-0.00010756731200000001,1.5709873056503185e-06
-3.1,0.025,-0.00012953696,8.639845795949036e-07,-2.1345468e-05,-0.00010819149199999998,1.2216221869906352e-06
-3.05,0.025,-0.00012876147000000002,1.013436696537523e-06,-2.0247935999999998e-05,-0.00010851353400000002,1.1463958482866585e-06
-3.0,0.025,-0.00012770665,6.135198326052727e-07,-1.9073924e-05,-0.000108632726,8.895040149600237e-07
-2.95,0.025,-0.0001268983,1.1169770603433754e-06,-1.8209516e-05,-0.00010868878400000001,1.3773117344898096e-06
-2.9,0.025,-0.00012618949,8.173064438888392e-07,-1.7116656e-05,-0.00010907283399999999,1.1050853522928534e-06
-2.85,0.025,-0.00012546444999999998,6.1082885628191e-07,-1.6047326e-05,-0.00010941712399999998,8.885476107089966e-07
-2.8,0.025,-0.0001246958,5.483598210421083e-07,-1.5102272e-05,-0.000109593528,1.1066293155810276e-06
-2.75,0.025,-0.00012387980000000003,5.220713808155566e-07,-1.4137372e-05,-0.00010974242800000003,8.32965557113055e-07
-2.7,0.025,-0.00012311027999999997,1.353689492379173e-06,-1.3569606e-05,-0.00010954067399999997,1.49146334356825e-06
-2.65,0.025,-0.00012178493000000001,2.2579084850316195e-06,-1.2611078e-05,-0.000109173852,2.3705453638662525e-06
-2.6,0.025,-0.00012118446999999999,8.27522326049945e-07,-1.1344885999999999e-05,-0.00010983958399999999,9.992891592232506e-07
-2.55,0.025,-0.00012092742999999999,6.004229251119551e-07,-1.05417804e-05,-0.00011038564959999999,9.019249374392508e-07
-2.5,0.025,-0.00012023505,1.0728416567954286e-06,-9.6092386e-06,-0.0001106258114,1.2502696815956786e-06
-2.45,0.025,-0.00011914343,9.215969100184492e-07,-8.510482e-06,-0.000110632948,1.0685523333800989e-06
-2.4,0.025,-0.00011774198000000001,7.178820342584904e-07,-7.7725826e-06,-0.00010996939740000001,8.919923604963825e-07
-2.35,0.025,-0.00011638623,1.064160320054164e-06,-6.599795399999999e-06,-0.0001097864346,1.2632687385871545e-06
-2.3,0.025,-0.00011541228999999999,6.005494122514437e-07,-5.3387528e-06,-0.0001100735372,7.384757722080357e-07
-2.25,0.025,-0.00011405605000000001,8.424763092613734e-07,-4.469702399999999e-06,-0.00010958634760000002,9.99343942858246e-07
-2.2,0.025,-0.00011186428,5.509317679067777e-07,-3.5832458000000004e-06,-0.0001082810342,6.071891412176173e-07
-2.15,0.025,-0.00010911225000000001,2.3980086114431576e-06,-2.7879864e-06,-0.00010632426360000002,2.438646366200385e-06
-2.1,0.025,-0.00010721487,2.5278377484192558e-06,-2.0049840000000003e-06,-0.000105209886,2.5816165409267953e-06
-2.05,0.025,-0.00010557255,6.535842736616154e-07,-1.1391184440000002e-06,-0.000104433431556,9.720827626311337e-07
-2.0,0.025,-0.00010363313,2.112100469543164e-06,-1.4129259999999987e-08,-0.00010361900073999999,2.1863767546832342e-06
-1.95,0.025,-0.0001007784,1.0705574967588915e-06,7.91440608e-07,-0.000101569840608,1.2121646506840715e-06
-1.9,0.025,-9.7499163e-05,8.562446627252954e-07,1.4808180999999999e-06,-9.897998109999999e-05,1.6070519454544259e-06
