Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.00017982990999999997,5.208843371815966e-06,-0.00014825196,-3.157794999999997e-05,1.4668275034240097e-05
-4.95,0.025,-0.00016556836000000005,5.898960149457604e-06,-0.0001353931,-3.017526000000006e-05,1.463595791125026e-05
-4.9,0.025,-0.00016055022,5.6985867124713984e-06,-0.00012750756,-3.304265999999999e-05,1.3900088543694806e-05
-4.85,0.025,-0.00015721698999999998,6.072667715162571e-06,-0.00012282220799999998,-3.4394782e-05,1.4169847559169357e-05
-4.8,0.025,-0.00015386208,6.151095603910284e-06,-0.00011870804799999999,-3.515403200000002e-05,1.4095565745118728e-05
-4.75,0.025,-0.00015145702999999999,4.950059458239983e-06,-0.000115557742,-3.589928799999999e-05,1.3491131961493489e-05
-4.7,0.025,-0.00014837822999999998,5.4762744801857155e-06,-0.00011254695399999999,-3.5831276e-05,1.3698256820610913e-05
-4.65,0.025,-0.00014605573,5.985276455891109e-06,-0.00010966919400000001,-3.6386536e-05,1.355532470742123e-05
-4.6,0.025,-0.00014449165000000001,5.988586692339579e-06,-0.000107396764,-3.709488600000002e-05,1.3448864305254426e-05
-4.55,0.025,-0.00014156803,6.814712392406759e-06,-0.00010485981199999999,-3.670821800000001e-05,1.3721979762226082e-05
-4.5,0.025,-0.00014024504999999999,5.486536229565363e-06,-0.00010214243400000001,-3.8102615999999973e-05,1.3169790798380711e-05
-4.45,0.025,-0.00013902611000000001,4.7141462256229976e-06,-9.9681692e-05,-3.934441800000002e-05,1.2672712695665267e-05
-4.4,0.025,-0.00013654277,6.071461721136206e-06,-9.752569600000001e-05,-3.9017074e-05,1.2857242283720961e-05
-4.35,0.025,-0.00013584375,4.067605158443973e-06,-9.488650799999999e-05,-4.095724200000002e-05,1.1768748771010879e-05
-4.3,0.025,-0.00013439757000000002,3.492728989088936e-06,-9.259273399999999e-05,-4.180483600000003e-05,1.1680586910579546e-05
-4.25,0.025,-0.00013250403000000002,3.665602006658964e-06,-9.054457600000001e-05,-4.195945400000001e-05,1.167252320895325e-05
-4.2,0.025,-0.00013101432,3.973042808953581e-06,-8.846061e-05,-4.2553710000000006e-05,1.1580552789466822e-05
-4.15,0.025,-0.00012851377,4.1776155533057675e-06,-8.6438716e-05,-4.207505400000001e-05,1.1527460162672535e-05
-4.1,0.025,-0.00012582859,4.288359959095992e-06,-8.440966200000001e-05,-4.1418927999999994e-05,1.1386352779211075e-05
-4.05,0.025,-0.00012495396,3.587704958512244e-06,-8.2756938e-05,-4.219702200000001e-05,1.0723748344308224e-05
-4.0,0.025,-0.00012294468999999997,3.834228528936575e-06,-8.0732308e-05,-4.221238199999997e-05,1.0551621578865552e-05
-3.95,0.025,-0.00012164877999999998,3.663781736827551e-06,-7.814902599999999e-05,-4.3499753999999994e-05,1.0203550144079317e-05
-3.9,0.025,-0.00012024217999999998,3.2329278174572504e-06,-7.6359248e-05,-4.388293199999997e-05,1.021151134702444e-05
-3.85,0.025,-0.00011877357,3.824671174260895e-06,-7.404829e-05,-4.4725279999999995e-05,1.0101441127318034e-05
-3.8,0.025,-0.00011728669,3.395782285080522e-06,-7.2784098e-05,-4.4502591999999994e-05,9.975379337540837e-06
-3.75,0.025,-0.00011467993000000002,5.189078552123787e-06,-7.1514064e-05,-4.316586600000002e-05,1.0960050104244098e-05
-3.7,0.025,-0.00011323704999999999,4.717589364695583e-06,-6.9763754e-05,-4.347329599999999e-05,1.0471160384800667e-05
-3.65,0.025,-0.00011221078000000003,3.750959420616426e-06,-6.7507718e-05,-4.470306200000003e-05,9.75874449330861e-06
-3.6,0.025,-0.00011068187000000001,3.6459958932292356e-06,-6.5610088e-05,-4.507178200000001e-05,9.659934548174455e-06
-3.55,0.025,-0.00011007458000000003,3.3504169836006984e-06,-6.365826199999999e-05,-4.641631800000004e-05,9.535598043705492e-06
-3.5,0.025,-0.00010804361999999998,3.305415827530462e-06,-6.2326904e-05,-4.571671599999998e-05,1.0178205182023442e-05
-3.45,0.025,-0.00010676120000000002,2.3097734232315235e-06,-6.0257172000000007e-05,-4.650402800000001e-05,9.225771006126623e-06
-3.4,0.025,-0.00010554349,1.7067373237001372e-06,-5.8590475999999995e-05,-4.6953014e-05,8.69492654081914e-06
-3.35,0.025,-0.00010308587199999999,3.863023004023893e-06,-5.6967882e-05,-4.6117989999999994e-05,8.983276357002929e-06
-3.3,0.025,-0.000101680138,3.987100344109181e-06,-5.4661122e-05,-4.701901600000001e-05,8.651450647062926e-06
-3.25,0.025,-0.00010056859600000002,3.1949210521082447e-06,-5.3353536e-05,-4.721506000000002e-05,8.460441046620116e-06
-3.2,0.025,-9.7916311e-05,4.815879411298166e-06,-5.1789054e-05,-4.6127257000000004e-05,9.389624815156119e-06
-3.15,0.025,-9.678662599999998e-05,3.6829020466812423e-06,-4.9993882e-05,-4.6792743999999984e-05,9.0394505077338e-06
-3.1,0.025,-9.508245400000001e-05,4.432188042451368e-06,-4.8012406000000004e-05,-4.7070048000000006e-05,9.29028479422073e-06
-3.05,0.025,-9.4080562e-05,3.905357817960687e-06,-4.625916200000001e-05,-4.782139999999999e-05,9.248643574658755e-06
-3.0,0.025,-9.3355583e-05,2.0930147785646425e-06,-4.4540239999999994e-05,-4.881534300000001e-05,8.414180528396097e-06
-2.95,0.025,-9.1452206e-05,3.7966138973336057e-06,-4.3183132e-05,-4.8269074e-05,8.744466331463382e-06
-2.9,0.025,-9.0242727e-05,2.451980480029471e-06,-4.157771e-05,-4.8665017e-05,8.043283341073815e-06
-2.85,0.025,-8.8892151e-05,2.4020318012440587e-06,-4.0169628e-05,-4.8722522999999996e-05,7.719034478074818e-06
-2.8,0.025,-8.758361299999998e-05,2.988188238820195e-06,-3.8492608e-05,-4.909100499999998e-05,7.903491622567417e-06
-2.75,0.025,-8.6529394e-05,2.169206144003429e-06,-3.6712892e-05,-4.9816502e-05,7.311175987876521e-06
-2.7,0.025,-8.384874e-05,2.9113323714562198e-06,-3.5301626e-05,-4.8547114e-05,7.441093493016931e-06
-2.65,0.025,-8.2370674e-05,2.4957074122011062e-06,-3.3617012e-05,-4.8753662e-05,7.259158337034367e-06
-2.6,0.025,-8.2098576e-05,2.6760865913917407e-06,-3.1999822000000005e-05,-5.0098753999999996e-05,7.227959796574457e-06
-2.55,0.025,-8.0356016e-05,2.778349476406612e-06,-3.0355178000000004e-05,-5.0000838e-05,7.402911117325325e-06
-2.5,0.025,-7.912433099999999e-05,2.1129270280003646e-06,-2.8810528e-05,-5.031380299999999e-05,7.227501932841282e-06
-2.45,0.025,-7.759347600000001e-05,1.6923259409017182e-06,-2.7272772e-05,-5.032070400000001e-05,7.077642630694128e-06
-2.4,0.025,-7.6262516e-05,1.6662288322783134e-06,-2.5546986e-05,-5.0715529999999995e-05,6.532377673645757e-06
-2.35,0.025,-7.505253599999999e-05,2.0887471595310173e-06,-2.4047452e-05,-5.100508399999999e-05,6.568874901877709e-06
-2.3,0.025,-7.2986617e-05,2.2829414783906902e-06,-2.2466546e-05,-5.0520071e-05,6.853240509462417e-06
-2.25,0.025,-7.149116900000001e-05,2.245400199249074e-06,-2.08493402e-05,-5.0641828800000017e-05,6.960426193193056e-06
-2.2,0.025,-6.997293799999999e-05,1.5429817883407155e-06,-1.8839434e-05,-5.113350399999999e-05,6.838130245562826e-06
-2.15,0.025,-6.842684400000001e-05,1.692145996046967e-06,-1.74085566e-05,-5.101828740000002e-05,6.803932562257697e-06
-2.1,0.025,-6.7461387e-05,9.88519341125345e-07,-1.62279594e-05,-5.123342759999999e-05,6.284357776601017e-06
-2.05,0.025,-6.568882300000002e-05,1.4471163740199571e-06,-1.4632331999999998e-05,-5.105649100000002e-05,6.315983703618674e-06
-2.0,0.025,-6.386071599999999e-05,1.9631013550004102e-06,-1.2588353e-05,-5.1272362999999986e-05,5.869302072212202e-06
-1.95,0.025,-6.2228851e-05,3.365807180462725e-06,-1.10728929e-05,-5.1155958100000006e-05,6.630350145604604e-06
-1.9,0.025,-6.0020671e-05,2.2199520645998447e-06,-9.83492318e-06,-5.018574782e-05,6.35183112328596e-06
-1.85,0.025,-5.9565694e-05,1.748152474453467e-06,-8.2613598e-06,-5.13043342e-05,6.056197837055357e-06
-1.8,0.025,-5.8138510000000007e-05,2.44797576242994e-06,-6.360291199999999e-06,-5.177821880000001e-05,5.978663601264177e-06
-1.75,0.025,-5.6604454000000004e-05,2.1041863113496185e-06,-4.8374710000000005e-06,-5.1766983e-05,5.870399000627267e-06
-1.7,0.025,-5.6325251e-05,1.625426616699956e-06,-3.5271862e-06,-5.27980648e-05,5.864062250587034e-06
-1.65,0.025,-5.508424699999999e-05,4.357058843453024e-06,-2.1122324e-06,-5.2972014599999995e-05,6.713746946421424e-06
-1.6,0.025,-5.282386e-05,3.4935364370314876e-06,-6.717783999999999e-07,-5.2152081599999996e-05,6.298158408074376e-06
-1.55,0.025,-5.008715699999999e-05,4.9437678282348574e-06,8.8511554e-07,-5.0972272539999994e-05,7.131232803857329e-06
-1.5,0.025,-4.8743679e-05,3.835820913313082e-06,2.1672103e-06,-5.09108893e-05,6.478747267060007e-06
-1.45,0.025,-4.9073514e-05,2.706865624761516e-06,3.6113598000000006e-06,-5.26848738e-05,5.485595954981168e-06
-1.4,0.025,-4.7366999999999996e-05,1.8608156207008913e-06,5.1342074e-06,-5.25012074e-05,5.164092605691317e-06
-1.35,0.025,-4.6082257e-05,1.8724946687184154e-06,6.539386799999999e-06,-5.26216438e-05,5.400605401484225e-06
-1.3,0.025,-4.6008695e-05,2.892479241405393e-06,8.0950848e-06,-5.41037798e-05,5.924640871411602e-06
-1.25,0.025,-4.3966361999999996e-05,1.9989209543362255e-06,9.632642399999998e-06,-5.359900439999999e-05,5.5818022197026335e-06
-1.2,0.025,-4.2331673000000006e-05,2.1089534026202032e-06,1.11481332e-05,-5.347980620000001e-05,5.532290527710022e-06
-1.15,0.025,-4.0500501e-05,1.6422555827712484e-06,1.2833268599999998e-05,-5.33337696e-05,5.387443330314773e-06
-1.1,0.025,-3.931478099999999e-05,1.2113010687452287e-06,1.4214916e-05,-5.3529696999999995e-05,5.127314035435448e-06
-1.05,0.025,-3.8159332e-05,1.8852505967689747e-06,1.5545566e-05,-5.3704898e-05,5.616737705372021e-06
-1.0,0.025,-3.6398163e-05,1.5123929902938606e-06,1.6797768e-05,-5.3195931e-05,5.119568546328881e-06
-0.95,0.025,-3.512995e-05,1.4033544116231739e-06,1.8290954000000002e-05,-5.3420904000000006e-05,4.588852228629967e-06
-0.9,0.025,-3.2948239000000004e-05,1.3418454553458154e-06,1.990573e-05,-5.285396900000001e-05,4.762725930250681e-06
-0.85,0.025,-3.0653031000000004e-05,1.426271746597868e-06,2.1538655999999997e-05,-5.2191687e-05,5.1484248615934304e-06
-0.8,0.025,-2.8580544000000002e-05,1.6068292982987066e-06,2.2996543999999996e-05,-5.1577088e-05,5.141759979078285e-06
-0.75,0.025,-2.5993737e-05,1.9469970225626376e-06,2.4587044e-05,-5.0580781e-05,5.3609539413706765e-06
-0.7,0.025,-2.2990214e-05,2.4871201209439894e-06,2.595717e-05,-4.8947384e-05,4.95598800156482e-06
-0.65,0.025,-1.9255809e-05,3.342628305202859e-06,2.7420684e-05,-4.6676493e-05,5.123021918235694e-06
-0.6,0.025,-1.3920683299999999e-05,2.8484383050705774e-06,2.8965843999999997e-05,-4.288652729999999e-05,5.119465625758545e-06
-0.55,0.025,-6.8983990000000005e-06,2.5178731784498867e-06,3.0534038e-05,-3.7432437e-05,5.0575988425266905e-06
-0.5,0.025,4.277432150000001e-06,2.688686662071673e-06,3.1983584e-05,-2.7706151849999997e-05,5.170523221699339e-06
-0.45,0.025,2.4112904e-05,2.459789500506993e-06,3.3479466e-05,-9.366561999999999e-06,4.88347312083157e-06
-0.4,0.025,6.0576052000000006e-05,2.1812599974265635e-06,3.4724316e-05,2.5851736000000007e-05,4.733735430746351e-06
-0.35,0.025,0.00012786409000000001,1.9433700639467654e-06,3.585445e-05,9.200964000000001e-05,4.629558588250553e-06
-0.3,0.025,0.00025473719000000005,3.1896661136481885e-06,3.7188535999999997e-05,0.00021754865400000007,5.403993622769697e-06
-0.25,0.025,0.0004843250700000001,6.303443143420374e-06,3.8566014e-05,0.0004457590560000001,7.770014800861922e-06
-0.2,0.025,0.0008911489600000001,1.2503852144768132e-05,4.0466378e-05,0.0008506825820000001,1.3179522560889397e-05
-0.15,0.025,0.0016029535,2.38605415755338e-05,4.1837728000000004e-05,0.001561115772,2.418958362459133e-05
-0.1,0.025,0.0033748203000000003,6.464241723177334e-05,4.3466232e-05,0.003331354068,6.475164934506947e-05
-0.05,0.025,0.0047125159,7.531721386014986e-05,4.4715230000000004e-05,0.0046678006700000005,7.541335359620005e-05
0.0,0.025,0.0075885944999999995,0.00012071728959225357,4.4790268e-05,0.007543804231999999,0.00012077330709192732
0.05,0.025,0.0097441127,0.0001550160297281472,4.3518678e-05,0.009700594022,0.00015506477531803696
0.1,0.025,0.012401592,0.0001948704025072392,4.46118e-05,0.0123569802,0.00019490704736284747
0.15,0.025,0.015067882,0.00023020127520643032,4.6160126e-05,0.015021721874,0.0002302308296766795
0.2,0.025,0.017677555,0.00026330857306589917,4.7613366e-05,0.017629941634,0.0002633388951789492
0.25,0.025,0.020241309,0.00029590508885451766,4.8984963999999994e-05,0.020192324036,0.0002959309388475732
0.3,0.025,0.024016650999999997,0.0003470582930367109,5.020405199999999e-05,0.023966446947999997,0.00034707807791796485
0.35,0.025,0.026429150000000002,0.0003834703810668508,5.20272e-05,0.026377122800000003,0.00038348464306676305
0.4,0.025,0.028786817000000003,0.00041653819998357423,5.392539e-05,0.028732891610000002,0.0004165539782892664
0.45,0.025,0.031064524,0.00044670825356651477,5.5153566e-05,0.031009370434,0.0004467222628799627
0.5,0.025,0.033262682,0.0004806273352100474,5.548352600000001e-05,0.033207198474,0.00048065116175411066
0.55,0.025,0.035377275,0.0005103290919320811,5.7918810000000006e-05,0.03531935619,0.0005103408138776755
0.6,0.025,0.037397749,0.0005349809524013193,5.9149684000000003e-05,0.037338599316000004,0.0005349910957369156
0.65,0.025,0.039332020999999995,0.0005555835652806867,6.0739938e-05,0.039271281061999994,0.0005555939379790651
0.7,0.025,0.041189339,0.0005778161960818017,6.249054200000001e-05,0.041126848458,0.0005778248651380221
0.75,0.025,0.042963242,0.0005991910838195853,6.4086688e-05,0.042899155312,0.0005992015955546501
0.8,0.025,0.044656339,0.000614211524683838,6.552766599999999e-05,0.044590811334,0.0006142237985115948
0.85,0.025,0.046271495,0.0006265298979342925,6.6710982e-05,0.046204784018,0.000626540435530944
0.9,0.025,0.047811062,0.0006423793913741483,6.8200972e-05,0.047742861028,0.0006423871260041121
0.95,0.025,0.049278887,0.0006599485892779828,6.959168e-05,0.04920929532,0.0006599542877392367
1.0,0.025,0.050682463999999997,0.000672671350416466,7.123318800000001e-05,0.050611230811999995,0.0006726775530948283
1.05,0.025,0.052025263,0.0006815297883446555,7.283326e-05,0.05195242974,0.0006815359726717559
1.1,0.025,0.05330436399999999,0.000694973914621582,7.4266378e-05,0.05323009762199999,0.0006949814194245331
1.15,0.025,0.05451512399999999,0.0007085596600020512,7.568551999999999e-05,0.05443943847999999,0.0007085673002323502
1.2,0.025,0.055678897000000005,0.0007179893170986447,7.6851174e-05,0.05560204582600001,0.0007179978076935758
1.25,0.025,0.056777371,0.0007251391281900478,7.873266e-05,0.05669863834,0.0007251466945999515
1.3,0.025,0.057816855,0.0007349552224191019,7.9384782e-05,0.057737470218,0.0007349598402974242
1.35,0.025,0.05880158900000001,0.0007446556600417554,8.0402134e-05,0.05872118686600001,0.0007446620918978753
1.4,0.025,0.059734067999999994,0.0007522992499560555,8.210661e-05,0.059651961389999994,0.0007523045667842393
1.45,0.025,0.060609917,0.0007574326797229051,8.3893244e-05,0.060526023756,0.0007574381940974738
1.5,0.025,0.061437498,0.0007663617776481282,8.5491378e-05,0.061352006622,0.0007663683510314127
1.55,0.025,0.062216801999999995,0.0007747659503761271,8.699656399999999e-05,0.062129805435999996,0.0007747724834308467
1.6,0.025,0.06295598100000001,0.0007767080690745751,8.8626558e-05,0.062867354442,0.0007767146903433996
1.65,0.025,0.063645083,0.00078020640610959,8.988536e-05,0.06355519764,0.0007802112789094648
1.7,0.025,0.06429864500000002,0.0007855241907478098,9.1011798e-05,0.06420763320200001,0.0007855301381233471
1.75,0.025,0.064925982,0.0007895628043530031,9.257776200000001e-05,0.06483340423799999,0.000789568269331281
1.8,0.025,0.065519945,0.0007933346119492498,9.4171266e-05,0.06542577373399999,0.0007933402947720287
1.85,0.025,0.066084425,0.0007962133291503406,9.524109399999998e-05,0.065989183906,0.0007962198051336518
1.9,0.025,0.066628407,0.0007994494324505806,9.624350000000001e-05,0.0665321635,0.0007994551526143976
1.95,0.025,0.067153513,0.0008044937222467578,9.7680264e-05,0.06705583273599999,0.000804498599921293
2.0,0.025,0.067665601,0.0008059570061933949,9.9229122e-05,0.067566371878,0.00080596073639861
2.05,0.025,0.06815548099999999,0.0008070168559089145,0.000100865446,0.06805461555399998,0.0008070209064952886
2.1,0.025,0.068633618,0.0008100093428240311,0.00010240570000000001,0.06853121229999999,0.0008100130499820998
2.15,0.025,0.06910139099999998,0.0008158645670759347,0.00010353804,0.06899785295999998,0.0008158675036055857
2.2,0.025,0.06955066400000001,0.0008195281341276,0.00010479835999999999,0.06944586564,0.0008195317710762704
2.25,0.025,0.069985939,0.0008208910600269799,0.00010602282,0.06987991618,0.0008208945285709096
2.3,0.025,0.070412781,0.0008202288256801678,0.00010740839999999999,0.0703053726,0.0008202324776229828
2.35,0.025,0.070828882,0.0008222101426953507,0.00010901240000000001,0.0707198696,0.0008222130176030625
2.4,0.025,0.07123615400000001,0.0008259673212152842,0.00011038326000000001,0.07112577074000001,0.0008259695652380997
