Tensao (V),Erro instrumental (V),Corrente media (A),Desvio padrao (A),Ruido como erro (A),Corrente com ruido descontado (A),Erro propagado (media e ruido) (A)
-5.0,0.025,-0.00031768102,2.777830226684929e-05,-0.00014825196,-0.00016942906000000002,3.0978384722842546e-05
-4.95,0.025,-0.0003004088299999999,3.104553275422157e-05,-0.0001353931,-0.0001650157299999999,3.3811812094716905e-05
-4.9,0.025,-0.00029316363,3.0868694180424206e-05,-0.00012750756,-0.00016565607000000002,3.3370868304668896e-05
-4.85,0.025,-0.00029136696,2.4155123990629123e-05,-0.00012282220799999998,-0.00016854475200000002,2.733820223924731e-05
-4.8,0.025,-0.0002910084299999999,2.2670456092606026e-05,-0.00011870804799999999,-0.0001723003819999999,2.5976885417487945e-05
-4.75,0.025,-0.00029044216000000003,2.3871788166052604e-05,-0.000115557742,-0.00017488441800000005,2.6969794645254704e-05
-4.7,0.025,-0.00029085140999999994,2.1523634983867804e-05,-0.00011254695399999999,-0.00017830445599999997,2.4918256774097544e-05
-4.65,0.025,-0.00028386227,2.5133013004769023e-05,-0.00010966919400000001,-0.00017419307600000003,2.792116824862579e-05
-4.6,0.025,-0.00028719375,2.20251784086733e-05,-0.000107396764,-0.00017979698600000004,2.5102136651356363e-05
-4.55,0.025,-0.00028620946999999996,1.7584399102048122e-05,-0.00010485981199999999,-0.00018134965799999997,2.123825594025627e-05
-4.5,0.025,-0.00028419208999999997,1.7097215729693155e-05,-0.00010214243400000001,-0.00018204965599999997,2.087237637602501e-05
-4.45,0.025,-0.00028262023,2.3098857071631634e-05,-9.9681692e-05,-0.00018293853799999997,2.5921644825241835e-05
-4.4,0.025,-0.00028105242,2.762195060827932e-05,-9.752569600000001e-05,-0.000183526724,2.985662718924062e-05
-4.35,0.025,-0.00028147991999999996,2.3549885397494204e-05,-9.488650799999999e-05,-0.00018659341199999996,2.6010673542707055e-05
-4.3,0.025,-0.000281881,2.1529033155975937e-05,-9.259273399999999e-05,-0.000189288266,2.4243271714343572e-05
-4.25,0.025,-0.00028419536,1.8684469828127913e-05,-9.054457600000001e-05,-0.00019365078400000003,2.1723732937746965e-05
-4.2,0.025,-0.00028194168,1.8248029906558853e-05,-8.846061e-05,-0.00019348107,2.124416929932814e-05
-4.15,0.025,-0.00027910765,1.88829532457923e-05,-8.6438716e-05,-0.00019266893400000001,2.1725464077288614e-05
-4.1,0.025,-0.00027697052,1.8665464860526657e-05,-8.440966200000001e-05,-0.000192560858,2.1439649645771395e-05
-4.05,0.025,-0.00027709915,1.7806756883288875e-05,-8.2756938e-05,-0.00019434221199999998,2.047456330140586e-05
-4.0,0.025,-0.00027712774000000003,1.767829560036198e-05,-8.0732308e-05,-0.00019639543200000004,2.0227643087251854e-05
-3.95,0.025,-0.0002754747,2.0560535783874904e-05,-7.814902599999999e-05,-0.00019732567400000003,2.2658878406656195e-05
-3.9,0.025,-0.00027322151000000005,2.2451958313026697e-05,-7.6359248e-05,-0.00019686226200000005,2.445227134250331e-05
-3.85,0.025,-0.00027240434,2.8929730971372685e-05,-7.404829e-05,-0.00019835605000000003,3.0402965929880096e-05
-3.8,0.025,-0.0002715159,2.6716785044861474e-05,-7.2784098e-05,-0.000198731802,2.8315427927783533e-05
-3.75,0.025,-0.00027057636,2.4035452969829566e-05,-7.1514064e-05,-0.000199062296,2.5901721207910468e-05
-3.7,0.025,-0.00027097880999999997,2.266392663656646e-05,-6.9763754e-05,-0.00020121505599999997,2.4516180799178255e-05
-3.65,0.025,-0.0002719434,2.1382853666950585e-05,-6.7507718e-05,-0.000204435682,2.320322883679752e-05
-3.6,0.025,-0.00027203655000000005,2.09280751491202e-05,-6.5610088e-05,-0.00020642646200000006,2.2759731520138643e-05
-3.55,0.025,-0.00027159368999999994,1.974629935053654e-05,-6.365826199999999e-05,-0.00020793542799999994,2.167068697868436e-05
-3.5,0.025,-0.00027060593999999997,1.9414162506170593e-05,-6.2326904e-05,-0.00020827903599999998,2.1669789864012987e-05
-3.45,0.025,-0.00026997533,1.941233332280452e-05,-6.0257172000000007e-05,-0.00020971815800000003,2.1368633143617e-05
-3.4,0.025,-0.00026989338,2.0105267670151633e-05,-5.8590475999999995e-05,-0.000211302904,2.1838282518242467e-05
-3.35,0.025,-0.00026962845,1.967009048283149e-05,-5.6967882e-05,-0.000212660568,2.1276483896063465e-05
-3.3,0.025,-0.00026932622999999996,1.9894167250955743e-05,-5.4661122e-05,-0.00021466510799999995,2.1324364463063605e-05
-3.25,0.025,-0.00026794140999999994,1.9246366513330368e-05,-5.3353536e-05,-0.00021458787399999995,2.0779657507754418e-05
-3.2,0.025,-0.00026773804999999997,1.8697595967886715e-05,-5.1789054e-05,-0.00021594899599999996,2.0361052395285556e-05
-3.15,0.025,-0.00026669205000000003,1.8773264559488725e-05,-4.9993882e-05,-0.00021669816800000004,2.0508129125224352e-05
-3.1,0.025,-0.00026532122,1.9063965282222315e-05,-4.8012406000000004e-05,-0.000217308814,2.0738849365282002e-05
-3.05,0.025,-0.00026075788,2.3577131892945185e-05,-4.625916200000001e-05,-0.00021449871799999998,2.502332385160099e-05
-3.0,0.025,-0.00025898584,2.28810309239966e-05,-4.4540239999999994e-05,-0.0002144456,2.4289077776771162e-05
-2.95,0.025,-0.0002593132099999999,1.9872444350543406e-05,-4.3183132e-05,-0.00021613007799999994,2.1376750426622718e-05
